"","Combine","Year","n","Pillar","pillar"
"81","soilhealth",2014,2,"Function","Fun"
"82","agriculturalland",2015,5,"Function","Fun"
"83","conservationofnaturalresources",2015,5,"Function","Fun"
"84","ecosystemservice",2015,5,"Function","Fun"
"85","environmentalprotection",2015,5,"Function","Fun"
"86","sustainability",2015,5,"Function","Fun"
"87","landuse",2015,4,"Function","Fun"
"88","soilconservation",2015,4,"Function","Fun"
"89","cropproduction",2015,3,"Function","Fun"
"90","biologicalcontrol",2015,2,"Function","Fun"
"91","ecosystems",2015,2,"Function","Fun"
"92","waterconservation",2015,2,"Function","Fun"
"93","sustainability",2016,6,"Function","Fun"
"94","agriculturalecosystem",2016,5,"Function","Fun"
"95","agriculturalland",2016,5,"Function","Fun"
"96","cropproduction",2016,5,"Function","Fun"
"97","carbonsequestration",2016,4,"Function","Fun"
"98","agroforestry",2016,3,"Function","Fun"
"99","organicfarming",2016,3,"Function","Fun"
"100","biotechnology",2016,2,"Function","Fun"
"101","conservationtillage",2016,2,"Function","Fun"
"102","cost-benefitanalysis",2016,2,"Function","Fun"
"103","ecosystemresilience",2016,2,"Function","Fun"
"104","ecosystemservice",2016,2,"Function","Fun"
"105","farmingsystem",2016,2,"Function","Fun"
"106","landuse",2016,2,"Function","Fun"
"107","organiccarbon",2016,2,"Function","Fun"
"108","soilfertility",2016,2,"Function","Fun"
"109","traditionalknowledge",2016,2,"Function","Fun"
"110","cropproduction",2017,7,"Function","Fun"
"111","farmingsystem",2017,5,"Function","Fun"
"112","agriculturalland",2017,4,"Function","Fun"
"113","landuse",2017,4,"Function","Fun"
"114","agroforestry",2017,2,"Function","Fun"
"115","climatechangeadaptation",2017,2,"Function","Fun"
"116","conservationofnaturalresources",2017,2,"Function","Fun"
"117","ecosystems",2017,2,"Function","Fun"
"118","ecosystemservice",2017,2,"Function","Fun"
"119","environmentalprotection",2017,2,"Function","Fun"
"120","forestmanagement",2017,2,"Function","Fun"
"121","irrigation",2017,2,"Function","Fun"
"122","sustainability",2017,2,"Function","Fun"
"123","agriculturalland",2018,8,"Function","Fun"
"124","landuse",2018,8,"Function","Fun"
"125","farmingsystem",2018,7,"Function","Fun"
"126","environmentalprotection",2018,6,"Function","Fun"
"127","landtenure",2018,5,"Function","Fun"
"128","agroforestry",2018,4,"Function","Fun"
"129","conservationofnaturalresources",2018,4,"Function","Fun"
"130","sustainability",2018,4,"Function","Fun"
"131","traditionalknowledge",2018,4,"Function","Fun"
"132","cropproduction",2018,3,"Function","Fun"
"133","ecosystems",2018,3,"Function","Fun"
"134","soilmoisture",2018,3,"Function","Fun"
"135","agriculturalecosystem",2018,2,"Function","Fun"
"136","agriculturalmachinery",2018,2,"Function","Fun"
"137","ecosystemservice",2018,2,"Function","Fun"
"138","ethnobotany",2018,2,"Function","Fun"
"139","organicfarming",2018,2,"Function","Fun"
"140","soilcarbon",2018,2,"Function","Fun"
"141","soilconservation",2018,2,"Function","Fun"
"142","soilhealth",2018,2,"Function","Fun"
"143","sustainability",2019,11,"Function","Fun"
"144","agriculturalland",2019,9,"Function","Fun"
"145","landuse",2019,8,"Function","Fun"
"146","cropproduction",2019,7,"Function","Fun"
"147","ecosystemservice",2019,6,"Function","Fun"
"148","farmingsystem",2019,6,"Function","Fun"
"149","ecosystems",2019,5,"Function","Fun"
"150","landtenure",2019,5,"Function","Fun"
"151","soilconservation",2019,4,"Function","Fun"
"152","agriculturalecosystem",2019,3,"Function","Fun"
"153","carbonsequestration",2019,3,"Function","Fun"
"154","conservationtillage",2019,3,"Function","Fun"
"155","environmentalprotection",2019,3,"Function","Fun"
"156","governanceapproach",2019,3,"Function","Fun"
"157","irrigation",2019,3,"Function","Fun"
"158","organiccarbon",2019,3,"Function","Fun"
"159","soilcarbon",2019,3,"Function","Fun"
"160","biotechnology",2019,2,"Function","Fun"
"161","cost-benefitanalysis",2019,2,"Function","Fun"
"162","ecologicalagriculture",2019,2,"Function","Fun"
"163","farmersknowledge",2019,2,"Function","Fun"
"164","integratedapproach",2019,2,"Function","Fun"
"165","landmanagement",2019,2,"Function","Fun"
"166","soilmoisture",2019,2,"Function","Fun"
"167","systemproductivity",2019,2,"Function","Fun"
"168","cropproduction",2020,5,"Function","Fun"
"169","ecosystems",2020,5,"Function","Fun"
"170","agriculturalland",2020,4,"Function","Fun"
"171","landuse",2020,4,"Function","Fun"
"172","sustainability",2020,4,"Function","Fun"
"173","carbonsequestration",2020,3,"Function","Fun"
"174","ecosystemservice",2020,3,"Function","Fun"
"175","bioaccumulation",2020,2,"Function","Fun"
"176","biologicalcontrol",2020,2,"Function","Fun"
"177","biotechnology",2020,2,"Function","Fun"
"178","croppingsystem",2020,2,"Function","Fun"
"179","environmentalprotection",2020,2,"Function","Fun"
"180","ethnobotany",2020,2,"Function","Fun"
"181","farmingsystem",2020,2,"Function","Fun"
"182","indigenousknowledge",2020,2,"Function","Fun"
"183","organiccarbon",2020,2,"Function","Fun"
"184","systemproductivity",2020,2,"Function","Fun"
