"","Auth_keywords"
"109","Administrative regions; Paddy soil; SOC change; Soil usage.; Upland soil"
"110","Garden pea; Hand weeding; Mulch; Organic farming; Stale seedbed; Weed control"
"111","Crop improvement; Farmer's decision making; Intensive data plots; Landrace; Nepal; On-farm conservation; Rice"
"112","Client oriented breeding (COB); Genetic diversity; Genetic erosion; Landrace; Nepal; Participatory plant breeding (PPB); Rice; Traditional variety"
"113","Biodiversity; IUCN Red Listed species; Livelihood; Principal component analysis; Regression analysis; Species richness and stem density"
"114","C; Crop residues; Cropping system; N; Wheat"
"115","Employment; Integrated Farming System; Profitability; Resource management"
"116","Buffer zone; Household food security; Irrigation intervention; National park"
"117","Crop productivity; Labour inputs; Labour productivity; Resource inputs; Traditional land use practices"
"118","Cash crops; Ethnic minorities; Forest management; Indigenous knowledge; Mainland Southeast Asia; Mountainous areas; Shifting cultivation"
"119","imported fruits; market diseases; market research; pathogens"
"120","Agrobiodiversity; Land-use strategy; Rubber price fluctuations; Shifting cultivation; Smallholder livelihoods; Smallholder rubber plantation; Xishuangbanna"
"121","Cropping system; Cumulative effect; Integration; Recycled manure; Soil fertility; Sustainability yield index"
"122","Agriculture; China; Ecology; Sustainable development"
"123","Diversity; Function and sustainable livelihood; Homegardens; Mizo; Structure"
"124","China; Contamination; Environmental health and safety; Food products; Food safety; Social welfare"
"125","agrobiodiversity; China; conservation; Dulong; Sloping Land Conversion Program (SLCP); Swidden agriculture; Yunnan"
"126","Agrobiodiversity loss; Chilling injury; Food security; Livelihood vulnerability; PR China; Rubber plantation; Xishuangbanna"
"127","Agrobiodiversity; Ao Naga tribe; Jhum; Nagaland"
"128","Genetic diversity; Mungbean; Population structure; SSRs"
"129","Agro-practice; Economics; Euryale ferox Salisb; Foxnut; Gorgon nut; Makhana; Manipur; Thangjing"
"130","Arundinaria intermedia; Asparagus racemosus; Cinnamomum tamala; Cost-benefit analysis; Eastern nepal; Institutional constraints; Ntfp domestication; Ntfp policy; Swertia chirayita; Texus baccata"
"131","Agrobiodiversity; China; Juglandaceae; Juglans regia; Juglans sigillata; Kinship; Microsatellites; Population genetics; Tibetan; Walnuts; Yunnan"
"132","Phylogenetic analysis; Potyvirus; Sequence"
"133","Community based seed production; Genetic diversity; Landrace enhancement; On-farm conservation; Participatory plant breeding; Traditional variety"
"134","Agrobiodiversity conservation; Ingkhol; Species inventory"
"135","15N isotope dilution; Added nitrogen interaction; Environmental index; Farmyard manure; Nitrogen fertilizer; Oryza sativa L."
"136","Integrated plant nutrition system; Rice-maize; Site-specific nutrient management; South Asia; Yield gaps; Yield potential"
"137","Geranium; Herbal state; MAPs; Mountain agriculture; SHGs; Socioeconomy"
"138","Conservational agriculture; Particle-size fractions; Soil enzyme activities; Soil nitrogen and phosphorus; Soil organic carbon"
"139","Agrobiodiversity; Biodiversity hotspots; Crop wild relatives conservation; India; Kerala"
"140","Adaptability; Agroecosystem resilience; Biodiversity; Collective action; Community management; Farmer selection; Genetic diversity; Incentives; Local institutions; Participatory breeding; Seed systems"
"141","Agrodiversity; Energy; Himalaya; Rainfed; Traditional agricultural practices"
"142","agribusiness; capital-labor dual intensifying; co-ops; differential optimums; economies of scope; food consumption; horticulture; vertical integration"
"143","Bijie Prefecture; Effect assessment; Karst region; NDVI; Project of Grain for Green; Vegetation remote sensing"
"144","Biopesticides; Climate change; Entomopathogenic microorganisms; Insect pest management"
"145","Apis mellifera; Foragers; Frame; Honey production; Honeybee population"
"146","Leaf folder; Rice; Spiders; Stem borer; Straw bundles"
"147","Bangladesh; homestead forests; plant diversity; Shannon-Weaver index; Simpson index"
"148","Agricultural practices; Food subsidies; High mountains; India; Ladakh; Markets"
"149","Genotype-environment interaction (GEI); Low arsenic rice varieties; Main Effect and Multiplicative Interaction (AMMI); Rice grain arsenic"
"150","Economics; Integrated farming system (IFS); Nutrient recycling; Productivity; Sustainability"
"151","'Golden Rice'; Agrifood governance; Ideational; India; Power"
"152","Khasi tribe; Meghalya; Myrica esculenta,Population structure; Regeneration status"
"153","Bottleneck; Domestication; Nucleotide diversity; Selection"
"154","Alkaloids; Conservation; Hengduan Mountains; Local ecological knowledge (LEK); Phytochemistry; Traditional Chinese medicine (TCM)"
"155","China; Livestock production; Mobility; Pastoralism; Rangeland policy; Socioeconomic change; Tibet"
"156","China.; Genomics; Metabolomics; Omics; Proteomics; Transcriptomics; Transgenic; Trees"
"157","Agroecosystem; Annual yield; Energy budget; Garhwal Himalaya; Production"
"158","Agricultural biodiversity; Bhar community; Conservation; Gender roles; Oryza rufipogon; Tinni; Traditional ecological knowledge"
"159","Agriculture; New horizons"
"160","Arsenic; Bangladesh; Drinking-water; Egg; Excreta; Feed; Laying hen"
"161","Cost-benefit analysis; Hedgerow intercropping; Mid-hill region; Minimum tillage; SCUAF model; Soil erosion"
"162","Chill conservation; Community structure; Maize field; Natural enemies; Post-crop habitat"
"163","Aroma; BADH2; Correlation; Grain quality; Rice; Sequence analysis"
"164","Conservation agriculture; Cowpea; Gender; India; Labor; Maize"
"165","Cowpea; Cropping system; Green manure; Residue management; Rice; Sesbania; Sustainable production; Wheat"
"166","Constructed wetland; Cutting; Cyperus alternifolius; Growth; Wastewater purification"
"167","Environmental degradation; Geomorphic hazards; Glacier fluctuations; Himalaya; Hydrological hazards"
"168","China; Fertilizer; Sustainable agriculture; Yunnan"
"169","Cash crop; Homegarden macrostructure; Shannon-Wiener Diversity Index; Stratification"
"170","Inorganic cultivation; Organic cultivation; Sustainability; Tea; Yield"
"171","Insect pest comple×; Resistance; Rice; Traditional cultivars"
"172","Adaptation; Climate change; Institutional innovation; Nepal; Technological change"
"173","agrobiodiversity; community biodiversity management; in situ conservation; on-farm management; plant genetic resources for food and agriculture"
"174","Cluster; Genetic diversity; Monoecious gourd"
"175","Animal husbandry; Cash crop; Forest; Sustainability; Traditional agrodiversity"
"176","Conservation; Genetic resources; Himalayan region; Land races"
"177","Agrobiodiversity; Biological control; Intercrop; Laodelphax striatellus; Nilaparvata lugens; Sogatella furcifera"
"178","Biogas fertilizer; Ecological benefits; Economic benefits; Ecosystem; NE saving"
"179","agrotourism; cultural tourism; ecotourism; Rural tourism"
"180","Agricultural intensification; Agricultural landscapes; Biodiversity; Ecological intensification; Multiple ecosystem services; Social-ecological domain"
"181","Arable land; Classification; Land evaluation; Land use; Optimization; Western region of China"
"182","Limestone forest; Rocky desertification; Size class; Stem density; Vegetation restoration"
"183","Bamboo flowering and rat-famine; civil society organization; food and livelihood security; humanitarian aid; Mautam; Save the Children"
"184","China; Rice terraces; Rural development; Sacred forests; Tourism; Yunnan"
"185","Biogas agriculture; Efficiency; Emergy synthesis; Sustainability; Ternary diagram"
"186","consolidation; developing countries; farm technology; food industry; supermarkets; supply chains; vertical coordination; wholesalers"
"187","Agricultural landscape; Crop diversity; Helicoverpa armigera; Population dynamics"
"188","Agro-ecosystem productivity; Climatic fluctuations; Climatic yield; The farming-pastoral ecotone"
"189","Crop wild relative; Food security; Gene pool; Plant conservation; Plant genetic resources"
"190","Agricultural landscape; Agriculture history; Biodiversity; Conservation; Intensive agriculture; Traditional agriculture"
"191","Building resilience; Dryland agriculture; Managing risk; Sustainable intensification"
"192","Agro-biodiversity assessment; Agro-ecosystem; Camellia sinensis var. assamica; Management and utilization; Species diversity index"
"193","Agro-forests; Camellia sinensis.; Grain for Green policy; State protected areas"
"194","conservations; diversity; Khasi tribes; Paan jhum; population structure; traditional agroforestry"
"195","Asian elephant; China; Compensation; Hevea brasiliensis; Risk; Rubber; Xishuangbanna"
"196","Agrobiodiversity; China; Food security; Genetic erosion; Participatory plant breeding; Policy development"
"197","Bangladesh; economic dependence; forestry; homestead"
"198","agro forestry; hedgerows; mountain farming system; Sloping Agricultural Land Technology; soil erosion; soil nutrient"
"199","Fertilization regimes; Principal component analysis; Purple soil; Soil fauna"
"200","Mixed grass strip; Nitrogen; Phosphorus; Soils; Watershed"
"201","Binsar Wildlife Sanctuary; Conservation practices; Ethnomedicinal knowledge; Medicinal plants; Socio-economic and cultural values; Traditional communities"
"202","Consumption utility; Contingent valuation; Incentive mechanisms; Opportunity cost of on-farm conservation; Payments for ecosystem services; Willingness to accept"
"203","ANP; China; Multifunctional agriculture; SWOT"
"204","Biodiversity; Carbon sequestration; Cost-effectiveness; Coupled human and natural systems; Environmental conservation; Grain-to-Green Program; Livelihood; Natural Forest Conservation Program; Nature Reserve System; Payment for ecosystem services; Poverty alleviation; Sustainability"
"205","Conservation and use; Holistic approaches; Income generation; Livelihood; Neglected and underutilized species (NUS); Nutrition; Value chain"
"206","Conservation; Diversity index; Farm category; Forestry; Hill farming"
"207","Alnus nepalensis; Broom grass; Fodder; Fuel; Grevillea robusta; Intercropping; Morus alba; Shade; Solar radiation interception; Terminalia myriocarpa"
"208","reproduction; sepal photosynthesis; source-sink relations"
"209","Crop diversity; Farm size; India; Irrigated farms; Land fragmentation; Land ownership; Profit efficiency"
"210","Agronomic practices; Arid agriculture; Extension Education; Rainwater harvesting; Sustainable technologies"
"211","Certification; Export; Fruits; Organic"
"212","Connotation characteristics; Modern agriculture; Problems and countermeasure; Sustainable development"
"213","Agrodiversity; Indigenous knowledge; Policy; Religious; Rural technology; Socio-cultural"
"214","Agriculture; Climate change; Economic analysis; Foodgrain production; India"
"215","Agribusiness; Apples; Controlled atmosphere storage; Produce; Supply chain management"
"216","Ethnobotany; Ethnomycology; Non-timber forest products; Wild edible plants"
"217","adaptive transition management; agricultural biodiversity; agriculture; food security; Nepal; socioecotechnical systems"
"218","Agribusiness; Agricultural trade; Bangladesh; Infrastructure development; Institution-based view; Policy reforms"
"219","Cropping pattern; Diversification; Production; Rainfall"
"220","generalized additive model; monoculture; polyculture; stability; trophic level"
"221","Allium tuberosum L; Chinese chives; Collection; Commercial cultivation; Home garden species; India; Less known vegetable"
"222","China; Community-based development; Hollowed villages revitalization; Rural land use allocation; Rural residential land consolidation; Traditional agricultural areas"
"223","Ethnomedicine; Healers; Homegardens; Medicinal plants; Naxi"
"224","agrarian crisis; agribusiness; Contract farming; global agriculture; McKinsey; West Bengal"
"225","Agricultural biodiversity; Complexity; Critical systems of learning competence; India; Nepal; Socio-ecotechnical systems"
"226","Eco-agriculture park; Functional zones; Qi river; SWOT analysis"
"227","Conservation agriculture; Hills; Intercropping; Legume; Maize; Millet; Nepal; Strip tillage; Yield"
"228","Compound agriculture-fruit farming system; Energy flow; Output/input ratio"
"229","Agro-biodiversity; China; Farmer-bred cultivars; Participatory plant breeding; Plant genetic resources; Public value"
"230","Agrifood system transformation; Asia; Diet change; Farm technology intensification; Rural factor markets; Urbanization"
"231","Ecosystem services; Food-water-energy nexus; Hindu Kush-Himalayan mountain systems; South Asia; Upstream-downstream linkages"
"232","Economics; extension gap; frontline demonstrations; oilseed; productivity; technological gap; technology index; water-use efficiency"
"233","Agrobiodiversity; Climatic change; Food security; Livestock; Sustainability"
"234","Genomics; Heat stress; Molecular markers; QTL; Tolerance"
"235","Aquilaria malaccensis; homegarden; population structure; regeneration status; socio-economic Prospects; species diversity"
"236","Actor network theory; China; Dalishu Village; Multifunctional agriculture; Structural equation model"
"237","Adaptive capacity; Irrigation management; SES framework; Spate irrigation; Vulnerability"
"238","Agriculture; Arsenic mitigation interventions; Bangladesh; Groundwater irrigation; Systematic review; West Bengal"
"239","Asia; Genetic diversity; Juglans regia; Landscape genetics; Nuclear microsatellites; Population genetic structure"
"240","Ecological indicators; Land use; Mekong Region; Rubber; Xishuangbanna; Yunnan"
"241","Bioenergy; Crop residues; Decomposition; Rice-wheat system; Soil health; Straw management; Straw mulch"
"242","breeding; crop diversity; domestication; genotyping; GWAS"
"243","Agribusiness; Change management; Development economics; Entrepreneurship; Small family business"
"244","Cereals; Ethnic minority; Ethnobotany; Minor crops; On-farm conservation; Tannon; Varietal richness"
"245","Agrobiodiversity; Indigenous communities; Paisang dry leaves; Rainfed agroecosystems; Traditional ecological knowledge"
"246","Agribusiness; Agricultural marketing"
"247","Ayurveda; genetic distinctness; medicinal rice; Njavara; stabilising selection; traditional cultivars"
"248","""add-value"" interventions to biodiversity; agrobiodiversity; future of small farms; subsistence farming; sustainable agriculture"
"249","Agriculture; Food security; Households' assets; Mountain specificities; Sustainable livelihood framework"
"250","Biofuel; Commercialization; Cultivation; Feedstock; Improvement; Sweet sorghum"
"251","Eco-agricultural tourism; Ecological footprint; Red crag village; Sustainable development"
"252","Cicerarietinum; Population structure; Seed minerals; Seed protein"
"253","Capacity building; Conservation; Ethnobotany; Land use management; Participatory rural appraisal; Sacred sites; Sustainable development; Tibet; Traditional ecological knowledge"
"254","Agricultural mechanization; Agroecology; Finger millet; Integrated farming systems; Sustainable intensification; System of crop intensification; System of rice intensification; Tef; Wheat"
"255","Arsenic; Cereal; Heavy metal; Toxicity; Wheat"
"256","Brugchu; Caltha palustris; Ethnobotany; Ethnomycology; Lactic fermentation; Lacto-fermented; Wild edible plants"
"257","Agricultural extension services; Agricultural research; China; Comparative analysis; India; Policy reform"
"258","Agriculture; Consumption expenditure; Farmer household; India; Sources of information; Technology access"
"259","Agro-biodiversity; Cropping diversity; Cultivation intensity; Land use suitability; System transition; Transition pressure"
"260","Knowledge level; Para Extension Workers; Socio-economic characteristics"
"261","Climate change; Fertilizer; Nitrogen use efficiency; Rainfed agriculture; Resilience"
"262","Echinochloa; Breeding; Domestication; Genomic resources; Germplasm; Nutritional value; Origin; Postharvest processing"
"263","Agro-morphological variation; Barnyard millet core germplasm; Cluster analysis; Echinochloa spp; Principal component analysis"
"264","Cluster analysis; Consumer segmentation; Consumer value; Mango industry; Pakistan"
"265","Characterisation; Common bean; Genetic diversity; Germplasm"
"266","Agricultural outlook; Agriculture of China; China Agricultural Monitoring and Early-warning System (CAMES); Projection"
"267","Climate change; Conservation strategy; Crop improvement; Crop wild relative; Food security; Gene donor; Plant genetic resources; Prioritization; Red List status"
"268","Climate change; Conservation agriculture; Residue retention; Sustainability; Zero-tillage"
"269","Abiotic stress; Agriculture; Biotic stress; Climate change; Northwest Himalayas"
"270","Climate change; Local knowledge; Perceptions; Plateau; Tibetan"
"271","Agrobiodiversity; Community partnership; Conservation; Consumption and commerce; Cultivation; Food and nutrition security"
"272","Agriculture; Ecosystem services; Integrated framework; Multifunctionality"
"273","Bulk density; Direct seeded rice; Labile and recalcitrant C; Residue management; Total C stock; Zero tilled green gram"
"274","Minimum tillage; Organic amendments; Soil conservation; Vegetation strips; Weed mulch"
"275","Conservation; Diversity; Farmers rights; Intellectual property rights; Protection of plant variety"
"276","conservation; cultural groups; Homegardens; plant diversity; underutilized species; wild species"
"277","Crop diversity; Crop improvement; Crop wild relatives; Food security; Germplasm conservation; Plant genetic resources"
"278","DSSAT; On-farm research; Sustainable intensification; Yield gaps"
"279","Crop production; deficit irrigation; food security; physiological response; water sustainability; water-saving agriculture"
"280","Cropland ecosystem; Ecological flow; Emergy; Exergy; Fengxiang County; Land consolidation"
"281","Agricultural multifunctionality; China; Cropland production system; Land consolidation; SPA-fuzzy model"
"282","Adoption; Advisory services; Facilitating and inhibiting factors; Farmers' satisfaction; IARI technologies; Voluntary organization"
"283","Crop wild relatives; Germplasm; Grapefruit; Lemons; Oranges"
"284","Multifunctional agriculture; Multifunctional rural; Paradigm shift; Rural development; Rural modernization paradigm; Rural transition"
"285","Conservation; Livelihoods; Marat longri wildlife sanctuary; Wild edible plants"
"286","Asteraceae; Carthamus; Crop improvement; Crop wild relative; DIVA-GIS; Germplasm; Kashmir"
"287","Agribusiness; Consumer behaviour; Emerging markets; Food products; Food retailing; India"
"288","Asian LDCs; Asian monsoon; Climate change effects; Food security; Migration"
"289","Adaptation; Climate change; Cropping pattern; Livelihoods; Local adaptive capacity; Vulnerability assessment"
"290","China; Economic cost; Environmental damage; Nr hotspots"
"291","Agent-based analysis; Chinese livestock production; Nutrient mitigation potential; Policy assessment"
"292","Cover and management factor; Crop rotation system; Cropping system region; Rainfall erosivity; Soil loss ratio"
"293","Biodiversity conservation; Bioeconomic modelling; Buxa; Highland aquatic resources; India; Livelihoods diversification; Sustainable agricultural intensification"
"294","Climate changerainfed agricultureadaptationresilienceclimate smart agriculture"
"295","crop diversity; home gardens; Jutpani; lowland; upland"
"296","Agribusiness; Agricultural institutions; China; Farmer organization Paper type Research paper; India"
"297","Agronomic innovations; China; Climate change; Farming systems; Genetic improvements; Resource-use efficiency; Sustainable crop production"
"298","android applets; Arduino; Chemigation; farming; Indian subsistence farming; sensor mesh"
"299","IPC; IPR; Partnerships; Patents; Technology commercialization; Technology protection; Trademarks"
"300","Dietary diversity; Eastern India; Food policy; Household food security"
"301","Afghanistan; capacity-building; development; farmer field schools; food security; kitchen garden; women"
"302","agribusiness; consumer behavior; fruits and vegetables; organized retailing; product attributes; willingness to pay"
"303","Farmers' club; Gender appraisal; Psychological dynamics"
"304","Adaptation; Agrobiodiversity management; Climate change; Gender; Nepal"
"305","Biological characteristics; Chromosome number; ISSR; Kiwifruit"
"306","Genetic diversity; Molecular marker; Population structure; Rice; Simple sequence repeat"
"307","Crop management; Improved agronomic practices; Nutritional security; Pulse productivity; Sustainable production"
"308","Agriculture; Ecosystem services; Intercropping; Organismal interactions; Resource use; Soil biodiversity; Sustainable intensification"
"309","Animal feed; Global poultry trade; India; Maize; Poultry industry"
"310","Cluster analysis; Economic characterization; Farm heterogeneity; Farm typology; Principal component analysis"
"311","Environmental benefits; Livelihood enhancement; NTFPs; Smallholder; Timber; Tree-farming"
"312","Adolescent girls; Agricultural initiatives; Calorific deficiency; Food security; Indian Himalayas; Marginal farmers; Micronutrient deficiencies; Nutrition management; Women"
"313","Antinutritional factors; Macrotyloma uniflorum; Medicinal properties; Nutraceutical and nutritional composition"
"314","Compost time; Grain yield; Maize; Phosphorus levels; PSB; Zea mays"
"315","Agricultural intensification; Ecosystem services; Environmental kuznets curve; Network connectivity; Paleoecological time series; Poverty alleviation; Regime shift; Yangtze basin"
"316","Agro-ecosystem; Asia-Pacific region; Certification; Climate change; Food security; Organic agriculture; Sustainable development"
"317","Arecanut; Ecosystem services; Livestock; Mixed farming"
"318","CGRFA; Ex situ conservation; Genebank; Genebanks Standards; Plant genetic resources"
"319","Determinants; Nepal; Trees on farm land; Trees outside forests"
"320","Altitude; Land use; Mountain region; PI model; Soil productivity; Spatial distribution"
"321","farms; livelihood; livestock; production; species diversity"
"322","Biological control; Competition interactions; Mile-a-minute; Soil nutrients; Sweet potato"
"323","Agricultural heritage; Conservation; Disease management; Ecological management pest insects; Giahs; Globec; Intercropping; Medicinal bioresources; Nutrient acquisition; Ocean ecosystem; Root interaction; Utilization"
