"","Combine","n"
"172","genetic",5
"173","geneticanalysis",5
"174","geneticresource",5
"175","genome",5
"176","glycinemax",5
"177","hexapoda",5
"178","householdsurvey",5
"179","integratedpestmanagement",5
"180","investment",5
"181","juglansregia",5
"182","medicinalplant",5
"183","monoculture",5
"184","mountainregion",5
"185","nitrogen",5
"186","numericalmodel",5
"187","nutritionalstatus",5
"188","participatoryapproach",5
"189","perception",5
"190","pestcontrol",5
"191","phosphorus",5
"192","physiology",5
"193","plants(botany)",5
"194","populationgenetics",5
"195","quantitativeanalysis",5
"196","rubberplantations",5
"197","ruralareas",5
"198","ruraleconomy",5
"199","seed",5
"200","shiftingcultivation",5
"201","socioeconomicconditions",5
"202","soil",5
"203","soilerosion",5
"204","soilquality",5
"205","southasia",5
"206","soybean",5
"207","speciesrichness",5
"208","tillage",5
"209","traditionalagriculture",5
"210","traditionalknowledge",5
"211","xishuangbanna",5
"212","agriculturalproductions",4
"213","agriculturalwastes",4
"214","agro-ecosystems",4
"215","agroecosystem",4
"216","allele",4
"217","altitude",4
"218","animalhusbandry",4
"219","bigdata",4
"220","brassicarapa",4
"221","carbon",4
"222","certification",4
"223","climate",4
"224","concentration(composition)",4
"225","conceptualframework",4
"226","conservationgenetics",4
"227","conservationplanning",4
"228","conservationstatus",4
"229","consumptionbehavior",4
"230","croprotation",4
"231","diversity",4
"232","diversityindex",4
"233","drought",4
"234","ecologicalagriculture",4
"235","economicandsocialeffects",4
"236","economicgrowth",4
"237","edible",4
"238","edibleplant",4
"239","education",4
"240","energy",4
"241","environmentalimpact",4
"242","environmentalmanagement",4
"243","erosion",4
"244","farmersattitude",4
"245","farmersknowledge",4
"246","farms",4
"247","fish",4
"248","foodconsumption",4
"249","foodgrain",4
"250","foodintake",4
"251","foodquality",4
"252","forests",4
"253","fruit",4
"254","fruits",4
"255","gender",4
"256","genes",4
"257","genomics",4
"258","government",4
"259","grass",4
"260","growthrate",4
"261","harvesting",4
"262","health",4
"263","homegarden",4
"264","homegardens",4
"265","hordeum",4
"266","humanexperiment",4
"267","indigenousknowledge",4
"268","innovation",4
"269","integratedapproach",4
"270","integratedfarmingsystems",4
"271","investments",4
"272","juglans",4
"273","landabandonment",4
"274","landforms",4
"275","landrace",4
"276","landraces",4
"277","legumes",4
"278","livestockfarming",4
"279","localparticipation",4
"280","majorclinicalstudy",4
"281","malusxdomestica",4
"282","managementpractice",4
"283","marketing",4
"284","microsatellites",4
"285","middleaged",4
"286","migration",4
"287","milk",4
"288","models",4
"289","modernization",4
"290","nutritionalvalue",4
"291","organiccarbon",4
"292","organicfarming",4
"293","oryza",4
"294","paddyfield",4
"295","phenotype",4
"296","phylogeography",4
"297","plantation",4
"298","plantbreeding",4
"299","plantgeneticresources",4
"300","polymorphism",4
"301","publicpolicy",4
"302","rain",4
"303","rainfedagriculture",4
"304","regionalplanning",4
"305","remotesensing",4
"306","researchwork",4
"307","sikkim",4
"308","socialchange",4
"309","socioeconomicimpact",4
"310","socioeconomics",4
"311","soilcarbon",4
"312","soilproperty",4
"313","spatialdistribution",4
"314","spatiotemporalanalysis",4
"315","sustainableproduction",4
"316","thailand",4
"317","timeseriesanalysis",4
"318","tourism",4
"319","uplandregion",4
"320","uttarakhand",4
"321","water",4
"322","watersupply",4
"323","wildpopulation",4
"324","zerotillage",4
"325","abandonedland",3
"326","aged",3
"327","agriculturalbiodiversity",3
"328","agriculturallandscape",3
"329","agriculturalmarket",3
"330","agriculturalproducts",3
"331","agriculturalsoil",3
"332","agritourism",3
"333","agro-biodiversity",3
"334","agro-ecosystem",3
"335","agrodiversity",3
"336","analysis",3
"337","animalfeed",3
"338","anthropogeniceffect",3
"339","arableland",3
"340","arsenic",3
"341","arunachalpradesh",3
"342","assessmentmethod",3
"343","aves",3
"344","bacteria",3
"345","barley",3
"346","bestmanagementpractice",3
"347","bhutan",3
"348","biochar",3
"349","biochemistry",3
"350","biofertilizer",3
"351","biological",3
"352","biologicalmodel",3
"353","biotechnology",3
"354","brassicanapus",3
"355","capacitybuilding",3
"356","catchment",3
"357","cattle",3
"358","cereals",3
"359","chenopodiumquinoa",3
"360","child",3
"361","classification(ofinformation)",3
"362","climatechangeadaptation",3
"363","climateeffect",3
"364","collectiveaction",3
"365","commercialization",3
"366","commercialphenomena",3
"367","competition",3
"368","conservationtillage",3
"369","correlation",3
"370","costeffectiveness",3
"371","costs",3
"372","cotton",3
"373","cropimprovement",3
"374","cropmanagement",3
"375","decomposition",3
"376","deforestation",3
"377","development",3
"378","diet",3
"379","dietarydiversity",3
"380","dioscoreaalata",3
"381","diversification",3
"382","doublecropping",3
"383","droughtstress",3
"384","economicconditions",3
"385","ecosystemfunction",3
"386","ecosystemresilience",3
"387","ecotourism",3
"388","ediblegrain",3
"389","efficiency",3
"390","elettariacardamomum",3
"391","eleusinecoracana",3
"392","energybudget",3
"393","environmentalpolicy",3
"394","ethnicminority",3
"395","ethnology",3
"396","experimentalstudy",3
"397","fallow",3
"398","farm",3
"399","farming",3
"400","fertilizers",3
"401","fieldmethod",3
"402","fodder",3
"403","food",3
"404","foodavailability",3
"405","foodmarket",3
"406","forestmanagement",3
"407","fungi",3
"408","gardening",3
"409","geneflow",3
"410","geneticmarker",3
"411","geneticresources",3
"412","geneticselection",3
"413","genomicresources",3
"414","geography",3
"415","gis",3
"416","gossypiumhirsutum",3
"417","governance",3
"418","grain(agriculturalproduct)",3
"419","grainyield",3
"420","grassland",3
"421","greenhousegas",3
"422","greenrevolution",3
"423","growingseason",3
"424","habitatfragmentation",3
"425","herb",3
"426","heterozygosity",3
"427","heveabrasiliensis",3
"428","himachalpradesh",3
"429","historicalperspective",3
"430","household",3
"431","householdincome",3
"432","hplc",3
"433","humanactivity",3
"434","hymenoptera",3
"435","insect",3
"436","insecticides",3
"437","intensiveagriculture",3
"438","introducedspecies",3
"439","introgression",3
"440","juglanssigillata",3
"441","lakes",3
"442","landmanagement",3
"443","landownership",3
"444","landscape",3
"445","landscapechange",3
"446","landtenure",3
"447","landuseplanning",3
"448","lensculinaris",3
"449","lepidoptera",3
"450","literaturereview",3
"451","livelihoods",3
"452","localgovernment",3
"453","macrotylomauniflorum",3
"454","management",3
"455","manure",3
"456","mechanization",3
"457","medicinal",3
"458","metabolism",3
"459","millets",3
"460","mixedfarming",3
"461","morphology",3
"462","naturalresources",3
"463","natureconservation",3
"464","northeastindia",3
"465","nutritionalsecurity",3
"466","nutritivevalue",3
"467","on-farmconservation",3
"468","participatoryplantbreeding",3
"469","phylogeny",3
"470","pisumsativum",3
"471","planning",3
"472","plantdiversity",3
"473","plantextract",3
"474","plantextracts",3
"475","plantgenome",3
"476","plantgrowth",3
"477","policy",3
"478","policyanalysis",3
"479","population",3
"480","populationdynamics",3
"481","potassium",3
"482","potato",3
"483","poultry",3
"484","povertyalleviation",3
"485","preventionandcontrol",3
"486","prioritization",3
"487","production",3
"488","protein",3
"489","qualityoflife",3
"490","rangeexpansion",3
"491","reproduction",3
"492","residuemanagement",3
"493","resilience",3
"494","resourceallocation",3
"495","resourceavailability",3
"496","resourceuse",3
"497","review",3
"498","rhizobium",3
"499","riskassessment",3
"500","seasonalvariation",3
"501","selection",3
"502","sichuan",3
"503","simplesequencerepeat",3
"504","smallandmediumenterprises",3
"505","socialcapital",3
"506","socioeconomicfactors",3
"507","socioeconomicstatus",3
"508","soildegradation",3
"509","soildepth",3
"510","soilhealth",3
"511","soilnitrogen",3
"512","soilpollution",3
"513","soilremediation",3
"514","soilwater",3
"515","sorghum",3
"516","southeastasia",3
"517","spatio-temporalanalysis",3
"518","specialization",3
"519","speciesinventory",3
"520","staterole",3
"521","strategicapproach",3
"522","systemproductivity",3
"523","tea",3
"524","technicalefficiency",3
"525","technologyadoption",3
"526","terraceagriculture",3
"527","tibet",3
"528","timber",3
"529","tolerance",3
"530","tourismdevelopment",3
"531","traditionalecologicalknowledge",3
"532","traditionalmedicine",3
"533","transgenicplant",3
"534","tree",3
"535","trends",3
"536","urbanarea",3
"537","urbanization",3
"538","vegetable",3
"539","vegetation",3
"540","village",3
"541","watershed",3
"542","wateruseefficiency",3
"543","weed",3
"544","westbengal",3
"545","wildedibleplants",3
"546","winter",3
"547","womensstatus",3
"548","yieldresponse",3
"549","20thcentury",2
"550","21stcentury",2
"551","80andover",2
"552","abovegroundbiomass",2
"553","abundance",2
"554","academicresearch",2
"555","accessibility",2
"556","adaptability",2
"557","adaptivecapacity",2
"558","aggregation",2
"559","agrarianchange",2
"560","agri-environmentalpolicy",2
"561","agriculturalbiotechnology",2
"562","agriculturaldiversification",2
"563","agriculturalextension",2
"564","agriculturalinstitutions",2
"565","agriculturallabor",2
"566","agriculturallandscapes",2
"567","agriculturalmodeling",2
"568","agriculturalmultifunctionality",2
"569","agrobiodiversityconservation",2
"570","agroecosystems",2
"571","agronomicpractices",2
"572","alnus",2
"573","alps",2
"574","analyticalhierarchyprocess",2
"575","angiosperm",2
"576","animalfood",2
"577","antioxidant",2
"578","antioxidants",2
"579","apismellifera",2
"580","apoidea",2
"581","apple",2
"582","aquaculture",2
"583","aquilariamalaccensis",2
"584","aromaticrice",2
"585","artificialintelligence",2
"586","asiancountries",2
"587","asteraceae",2
"588","attitude",2
"589","australia",2
"590","awareness",2
"591","ayeyarwady",2
"592","bacteria(microorganisms)",2
"593","bagrotvalley",2
"594","bamboo",2
"595","basidiomycota",2
"596","beijing[china]",2
"597","belowgroundbiomass",2
"598","biocontrol",2
"599","biodiversityconservation",2
"600","bioenergy",2
"601","biogeochemicalcycle",2
"602","biologicalmaterials",2
"603","biomarkers",2
"604","biomassallocation",2
"605","biomassproduction",2
"606","blackgram",2
"607","bulkdensity",2
"608","burma",2
"609","business",2
"610","businessdevelopment",2
"611","butterfly",2
"612","cajanuscajan",2
"613","carbondioxide",2
"614","carbonemission",2
"615","carbonfootprint",2
"616","carbonmanagementindex",2
"617","carbonmanagementindices",2
"618","carbonstock",2
"619","carbonstocks",2
"620","cashcrop",2
"621","cashcrops",2
"622","chickpea",2
"623","childnutrition",2
"624","chin",2
"625","chlorophyll",2
"626","choiceexperiment",2
"627","chongqing",2
"628","cicerarietinum",2
"629","climatechangeimpact",2
"630","climaticconditions",2
"631","coexistence",2
"632","coffee",2
"633","collection",2
"634","commodity",2
"635","communitycomposition",2
"636","compensationsystem",2
"637","compost",2
"638","conservationagricultures",2
"639","consolidation",2
"640","consumptionexpenditure",2
"641","costbenefitanalysis",2
"642","cropdamage",2
"643","cropdiversification",2
"644","cropland",2
"645","croppingpattern",2
"646","cropproductivity",2
"647","cropsystem",2
"648","cropwildrelative",2
"649","cultivatedlands",2
"650","culturalfactor",2
"651","culturalheritage",2
"652","culturaltradition",2
"653","culture",2
"654","degradation",2
"655","demography",2
"656","determinants",2
"657","developmenteconomics",2
"658","diagnosis",2
"659","dietaryintake",2
"660","disasters",2
"661","disease",2
"662","diseasediagnosis",2
"663","diseaseincidence",2
"664","diva-gis",2
"665","drugeffects",2
"666","drylandagriculture",2
"667","dynamics",2
"668","easternhimalaya",2
"669","ecologicalagricultures",2
"670","economicloss",2
"671","economicpolicy",2
"672","economicvalue",2
"673","egg",2
"674","emergingmarkets",2
"675","emissioncontrol",2
"676","empowerment",2
"677","endophyticbacteria",2
"678","energyuse",2
"679","entrepreneur",2
"680","entropy",2
"681","environment",2
"682","environmentalchange",2
"683","environmentaldegradation",2
"684","environmentaleconomics",2
"685","environmentalexploitation",2
"686","environmentalmonitoring",2
"687","environmentalplanning",2
"688","environmentalpollution",2
"689","environmentalstress",2
"690","environmentalsustainability",2
"691","enzymeactivity",2
"692","essentialoil",2
"693","estimationmethod",2
"694","ethnicity",2
"695","ethnography",2
"696","ethnomedicine",2
"697","ethnomycology",2
"698","eurasia",2
"699","evergreentree",2
"700","expenditure",2
"701","expertsystem",2
"702","expertsystems",2
"703","export",2
"704","exsituconservation",2
"705","extremeevent",2
"706","extremeweatherevents",2
"707","fabaceae",2
"708","fagopyrumtataricum",2
"709","familycharacteristics",2
"710","familysize",2
"711","farmingsystems",2
"712","farmsize",2
"713","farmyardmanure",2
"714","feces",2
"715","feeding",2
"716","feministpoliticalecology",2
"717","fingermillet",2
"718","floods",2
"719","floristics",2
"720","flue-curedtobacco",2
"721","foodandnutritionsecurity",2
"722","foodchain",2
"723","foodprocessing",2
"724","foodproducts",2
"725","foodsovereignty",2
"726","forestplantation",2
"727","forestrypolicy",2
"728","fuel",2
"729","fungaldisease",2
"730","fungus",2
"731","futureprospect",2
"732","fuzzymathematics",2
"733","gansu",2
"734","genderrelations",2
"735","genderrole",2
"736","gene",2
"737","geneediting",2
"738","geneintrogression",2
"739","genepool",2
"740","geneticallymodifiedorganism",2
"741","geneticerosion",2
"742","geneticimprovements",2
"743","geneticpolymorphism",2
"744","geneticstructure",2
"745","genome-wideassociationstudy",2
"746","genotype-environmentinteraction",2
"747","genotypingtechnique",2
"748","genotypingtechniques",2
"749","geographicaldistribution",2
"750","geographicdistribution",2
"751","geographicinformationsystem",2
"752","geographicinformationsystems",2
"753","germplasmresource",2
"754","giahs",2
"755","gilgit-baltistan",2
"756","globalchange",2
"757","globalization",2
"758","globalwarming",2
"759","grainproduction",2
"760","greenhousegases",2
"761","grossdomesticproduct",2
"762","growthdisorder",2
"763","growthdisorders",2
"764","habitatconservation",2
"765","habitatrestoration",2
"766","harvest",2
"767","haryana",2
"768","heating",2
"769","heavymetal",2
"770","helicoverpaarmigera",2
"771","heritagetourism",2
"772","high-throughputnucleotidesequencing",2
"773","highthroughputsequencing",2
"774","hill",2
"775","hillagriculture",2
"776","hillfarming",2
"777","hillslope",2
"778","himalayanregion",2
"779","history",2
"780","humancapital",2
"781","hybrid",2
"782","hybridization",2
"783","incentive",2
"784","incomedistribution",2
"785","indexmethod",2
"786","indianagriculture",2
"787","indigenous",2
"788","indigenouscommunity",2
"789","indigenouspopulation",2
"790","inducedresponse",2
"791","industrialdevelopment",2
"792","infant",2
"793","insecticide",2
"794","insects",2
"795","insituconservation",2
"796","integratedfarmingsystem",2
"797","intellectualpropertyrights",2
"798","interaction",2
"799","interactiveeffect",2
"800","intercrop",2
"801","interdisciplinaryapproach",2
"802","internationalcooperation",2
"803","internationalorganization",2
"804","invasivespecies",2
"805","ipomoeabatatas",2
"806","irrawaddydelta",2
"807","irrigationsystem",2
"808","jammuandkashmir",2
"809","jhum",2
"810","knowledge",2
"811","knowledgebasedsystems",2
"812","landconsolidation",2
"813","landcover",2
"814","landdegradation",2
"815","landevaluation",2
"816","landreform",2
"817","landsat",2
"818","landscapeecology",2
"819","landscapestructure",2
"820","landtenuresecurity",2
"821","latitude",2
"822","leafyvegetable",2
"823","legalaspect",2
"824","legislation",2
"825","loessplateau",2
"826","lowland",2
"827","malnutrition",2
"828","manures",2
"829","market",2
"830","marketconditions",2
"831","markets",2
"832","massspectrometry",2
"833","medicinalplants",2
"834","medicine",2
"835","meghalaya",2
"836","meta-analysis",2
"837","metabolomics",2
"838","methane",2
"839","metropolitanarea",2
"840","microbialcommunity",2
"841","microbiology",2
"842","microclimate",2
"843","microsatellitedna",2
"844","microsatelliterepeats",2
"845","mineral",2
"846","minimumtillage",2
"847","mitigation",2
"848","mizoram",2
"849","mobility",2
"850","model",2
"851","molecularanalysis",2
"852","molecularmarker",2
"853","molecularmarkers",2
"854","monocotyledon",2
"855","moraceae",2
"856","moringaleafextract",2
"857","morusalba",2
"858","moth",2
"859","mountainagriculture",2
"860","mountainenvironment",2
"861","mulching",2
"862","multifunctionality",2
"863","multivariateprobit",2
"864","mungbean",2
"865","mustard",2
"866","myanmars",2
"867","myrica",2
"868","myricaesculenta",2
"869","nagaland",2
"870","naturalenemies",2
"871","naturalenemy",2
"872","nature-societyrelations",2
"873","ndvi",2
"874","neglectedandunderutilizedspecies",2
"875","nichepartitioning",2
"876","nongovernmentalorganization",2
"877","nutrient",2
"878","nutrientavailability",2
"879","nutrientdynamics",2
"880","nutrientuptake",2
"881","oak",2
"882","oilseed",2
"883","optimization",2
"884","orchard",2
"885","organicagriculture",2
"886","organicmatter",2
"887","paddyfarming",2
"888","parasitoids",2
"889","parasitology",2
"890","parispolyphylla",2
"891","participatoryapproaches",2
"892","participatoryresearch",2
"893","pastoralism",2
"894","perennialplant",2
"895","performanceassessment",2
"896","persistence",2
"897","pestspecies",2
"898","phaseolusvulgaris",2
"899","photosynthesis",2
"900","physicochemicalproperty",2
"901","physiological",2
"902","physiologicalresponse",2
"903","phytomass",2
"904","phytotherapy",2
"905","pig",2
"906","piperbetel",2
"907","plant-pollinatorinteraction",2
"908","plantationforestry",2
"909","plantcommunity",2
"910","plantdisease",2
"911","plantdiseases",2
"912","plantgrowthpromotion",2
"913","plantseed",2
"914","poaceae",2
"915","policyapproach",2
"916","policydevelopment",2
"917","policyimplementation",2
"918","pollination",2
"919","pollution",2
"920","pollutioncontrol",2
"921","polyculture",2
"922","populationdistribution",2
"923","populationgrowth",2
"924","populationstatistics",2
"925","practiceguideline",2
"926","precipitationintensity",2
"927","precisionagriculture",2
"928","predation",2
"929","predatorybehavior",2
"930","preschool",2
"931","preschoolchild",2
"932","profit",2
"933","protectedarea",2
"934","psb",2
"935","publicattitude",2
"936","pyrus",2
"937","quantitativetrait",2
"938","questionnaire",2
"939","rainfall",2
"940","rangeland",2
"941","recreationalactivity",2
"942","recycling",2
"943","redlist",2
"944","regenerationstatus",2
"945","relativeabundance",2
"946","relativewatercontent",2
"947","reservoirs(water)",2
"948","residentpopulation",2
"949","resourceconservation",2
"950","resourceuseefficiency",2
"951","restoration",2
"952","restorationecology",2
"953","rhizosphere",2
"954","risk",2
"955","root-shootratio",2
"956","rubberplantation",2
"957","runoff",2
"958","rural-urbancomparison",2
"959","ruralpolicy",2
"960","ruralvitalization",2
"961","rusle",2
"962","salinity",2
"963","scenarioanalysis",2
"964","sealevel",2
"965","season",2
"966","seasons",2
"967","secondaryforest",2
"968","seedling",2
"969","seedquality",2
"970","seedtreatment",2
"971","semiaridregion",2
"972","semistructuredinterview",2
"973","sensitivityanalysis",2
"974","sequenceanalysis",2
"975","sesbania",2
"976","shrub",2
"977","singlenucleotide",2
"978","singlenucleotidepolymorphism",2
"979","small-scalefarmers",2
"980","socialaspect",2
"981","socialclass",2
"982","socialdevelopment",2
"983","socialenvironment",2
"984","socialstatus",2
"985","societiesandinstitutions",2
"986","society",2
"987","software",2
"988","soilamendment",2
"989","soilanalysis",2
"990","soilecosystem",2
"991","soilloss",2
"992","soilmicrobiology",2
"993","soilmoisture",2
"994","soilnutrient",2
"995","soilorganiccarbon",2
"996","soilsurvey",2
"997","soiltexture",2
"998","solanumtuberosum",2
"999","southwestchina",2
"1000","speciesoccurrence",2
"1001","ssrmarkers",2
"1002","statisticalanalysis",2
"1003","statisticsandnumericaldata",2
"1004","subsistenceagriculture",2
"1005","supplychainmanagement",2
"1006","supplychains",2
"1007","surveysandquestionnaires",2
"1008","survival",2
"1009","susscrofa",2
"1010","swiddenagriculture",2
"1011","technologicaldevelopment",2
"1012","technology",2
"1013","technologytransfer",2
"1014","tectonagrandis",2
"1015","temperature",2
"1016","theoretical",2
"1017","theoreticalmodel",2
"1018","theoryofplannedbehavior",2
"1019","thinness",2
"1020","tibetan",2
"1021","tourismeconomics",2
"1022","toxicity",2
"1023","trade-off",2
"1024","traditional",2
"1025","traditionalcrops",2
"1026","traditionalfarmingsystems",2
"1027","traditionalhealer",2
"1028","trees",2
"1029","tripura",2
"1030","triticum",2
"1031","tropics",2
"1032","uncertaintyanalysis",2
"1033","unclassifieddrug",2
"1034","underweight",2
"1035","upland",2
"1036","urbangrowth",2
"1037","uttarpradesh",2
"1038","valuechain",2
"1039","vegetableoil",2
"1040","vegetationcover",2
"1041","veryelderly",2
"1042","viciafaba",2
"1043","vigna",2
"1044","vine",2
"1045","virulence",2
"1046","vulnerabilityassessment",2
"1047","walnut",2
"1048","water-useefficiency",2
"1049","waterconservation",2
"1050","waterresources",2
"1051","waterstorage",2
"1052","wetland",2
"1053","willingnesstoaccept",2
"1054","women",2
"1055","women'sempowerment",2
"1056","yak",2
"1057","yieldgaps",2
"1058","zhejiang",2
"1059","zingiberofficinale",2
"1060","'goldenrice'",1
"1061","""add-value""interventionstobiodiversity",1
"1062","15nisotopedilution",1
"1063","16srrnagenesequence",1
"1064","2",1
"1065","2(methylthio)benzothiazole",1
"1066","454sequencing",1
"1067","4benzoxazin3one",1
"1068","4dihydroxy7methoxy1",1
"1069","6methoxy2benzoxazolinone",1
"1070","a.cristatum2pchromosometranslocationlines",1
"1071","abioticandbioticstress",1
"1072","abioticfactor",1
"1073","abioticstress",1
"1074","abioticstresses",1
"1075","abscisicacid",1
"1076","absorption",1
"1077","acacia",1
"1078","acc-deaminasebiotechnology",1
"1079","acclimatization",1
"1080","accumulation",1
"1081","aceticacid",1
"1082","acidobacteria",1
"1083","acidsoils",1
"1084","actionresearch",1
"1085","activitiesofdailyliving",1
"1086","actors",1
"1087","adaptationstrategies",1
"1088","adaptationstrategy",1
"1089","adaptivestrategies",1
"1090","adaptivestrategy",1
"1091","adaptivetransitionmanagement",1
"1092","addednitrogeninteraction",1
"1093","adolescent",1
"1094","adolescentgirls",1
"1095","adoptionandimpact",1
"1096","adoptionbehavior",1
"1097","adoptionstudy",1
"1098","advertising",1
"1099","advisoryservices",1
"1100","aerobiccomposting",1
"1101","aesthetics",1
"1102","africa",1
"1103","agaricales",1
"1104","agdp",1
"1105","agedistribution",1
"1106","ageratinaadenophora",1
"1107","agglomeration",1
"1108","aggregateassociatedcarbon",1
"1109","aggregateassociatedcarbons",1
"1110","aggregates",1
"1111","agingpopulation",1
"1112","agrariancrisis",1
"1113","agrariantransition",1
"1114","agri-foodknowledge",1
"1115","agri-foodsupplychains",1
"1116","agri-foodsystems",1
"1117","agribusinesscashcropping",1
"1118","agribusinessfirms",1
"1119","agribusinessmodel",1
"1120","agribusinessperformance",1
"1121","agricides",1
"1122","agriculturalapplication",1
"1123","agriculturalareas",1
"1124","agriculturalbigdata",1
"1125","agriculturalcarbonreduction",1
"1126","agriculturalchange",1
"1127","agriculturalchemicals",1
"1128","agriculturalco-operatives",1
"1129","agriculturalcommercialization",1
"1130","agriculturalcommunities",1
"1131","agriculturalcooperative",1
"1132","agriculturaldemonstration",1
"1133","agriculturalecologicalenvironment",1
"1134","agriculturalemission",1
"1135","agriculturalenvironment",1
"1136","agriculturalenvironments",1
"1137","agriculturalextensionservices",1
"1138","agriculturalfinance",1
"1139","agriculturalgrowths",1
"1140","agriculturalheritage",1
"1141","agriculturalheritages",1
"1142","agriculturalheritagesystems",1
"1143","agriculturalheritagesystemstourism",1
"1144","agriculturalimplements",1
"1145","agriculturalindustrializations",1
"1146","agriculturalinformation",1
"1147","agriculturalinformationperception",1
"1148","agriculturalinformations",1
"1149","agriculturalinitiatives",1
"1150","agriculturalinnovations",1
"1151","agriculturalinvestments",1
"1152","agriculturalirrigation",1
"1153","agriculturallandscapepatterns",1
"1154","agriculturallanduseintensity",1
"1155","agriculturalmarketing",1
"1156","agriculturalmechanization",1
"1157","agriculturalmulti-function",1
"1158","agriculturalnon-pointsourcepollutions",1
"1159","agriculturaloutlook",1
"1160","agriculturalperformance",1
"1161","agriculturalpolicytool",1
"1162","agriculturalpollution",1
"1163","agriculturalpractices",1
"1164","agriculturalprocedures",1
"1165","agriculturalproductiondiversity",1
"1166","agriculturalproductivity",1
"1167","agriculturalproductslogistics",1
"1168","agriculturalresearchoutput",1
"1169","agriculturalrobots",1
"1170","agriculturalsector",1
"1171","agriculturalsupplychains",1
"1172","agriculturalsustainabledevelopment",1
"1173","agriculturalsystem",1
"1174","agriculturaltechnologies",1
"1175","agriculturaltrade",1
"1176","agriculturalyields",1
"1177","agriculturalzones",1
"1178","agriculturebiodiversity",1
"1179","agriculturedevelopment",1
"1180","agricultureentrepreneurship",1
"1181","agriculturegreendevelopment",1
"1182","agriculturehistory",1
"1183","agriculturemonitoring",1
"1184","agricultureofchina",1
"1185","agriculturesectors",1
"1186","agriculturesupplychain",1
"1187","agriculturesustainability",1
