"","Combine","n"
"924","chloroplast",2
"925","choiceexperiment",2
"926","chongqing",2
"927","cinnamomumtamala",2
"928","climatechangeimpact",2
"929","climatology",2
"930","coexistence",2
"931","cohortanalysis",2
"932","collection",2
"933","commodity",2
"934","commonwalnut",2
"935","communitystructure",2
"936","compensationsystem",2
"937","competitiveadvantage",2
"938","composition",2
"939","conductionpaths",2
"940","conferenceproceeding",2
"941","conservationagricultures",2
"942","consumptionexpenditure",2
"943","content-based",2
"944","conventionalagriculture",2
"945","convolutionalneuralnetwork",2
"946","cooperativesector",2
"947","corn",2
"948","cropland",2
"949","croppingdiversity",2
"950","croppingregimes",2
"951","cropwildrelatives",2
"952","cultivatedlands",2
"953","culturalfactor",2
"954","culturallandscapes",2
"955","culture",2
"956","cydiapomonella",2
"957","daka",2
"958","dataanalytics",2
"959","dataenvelopmentanalysis",2
"960","degradation",2
"961","dehydrogenaseactivity",2
"962","determinants",2
"963","developmenteconomics",2
"964","diagnosis",2
"965","disasters",2
"966","diseaseincidence",2
"967","diseaseprevalence",2
"968","diva-gis",2
"969","draughtanimalpower(dap)",2
"970","drinkingwater",2
"971","drugeffects",2
"972","easternhimalaya",2
"973","easternhimalayas",2
"974","easternnepal",2
"975","echinochloa",2
"976","eco-agriculturaltourism",2
"977","ecologicalagricultures",2
"978","ecologicaleconomics",2
"979","ecologicalfootprint",2
"980","ecologicalindicators",2
"981","economicactivity",2
"982","economicloss",2
"983","economicpolicy",2
"984","economicvalue",2
"985","efficiencymeasurement",2
"986","emergingmarkets",2
"987","emergyevaluation",2
"988","emissioncontrol",2
"989","employment",2
"990","endangeredspecies",2
"991","endophyticbacteria",2
"992","endophyticmicrobes",2
"993","energyconversion",2
"994","energyefficiency",2
"995","entropy",2
"996","environment",2
"997","environmentalassessment",2
"998","environmentalawareness",2
"999","environmentaleconomics",2
"1000","environmentalexploitation",2
"1001","environmentalpollution",2
"1002","environmentalsustainability",2
"1003","enzyme",2
"1004","est-ssr",2
"1005","ethnicity",2
"1006","ethnicminorities",2
"1007","ethnography",2
"1008","ethnomedicine",2
"1009","ethnomycology",2
"1010","evaluationindexsystem",2
"1011","evergreenrevolution",2
"1012","evergreentree",2
"1013","expenditure",2
"1014","expertsystem",2
"1015","expertsystems",2
"1016","export",2
"1017","exsitu",2
"1018","exsituconservation",2
"1019","extension",2
"1020","extremeevent",2
"1021","extremeweatherevents",2
"1022","farmlandloss",2
"1023","farmyardmanure",2
"1024","fasterrcnn",2
"1025","feasibilitystudy",2
"1026","feministpoliticalecology",2
"1027","fertiliser",2
"1028","fingermillet",2
"1029","floatinggardens",2
"1030","fluoride",2
"1031","foodaid",2
"1032","foodandnutritionsecurity",2
"1033","foodchain",2
"1034","foodprocessing",2
"1035","foodproducts",2
"1036","foodsovereignty",2
"1037","forestcover",2
"1038","forestplantation",2
"1039","forestresource",2
"1040","forestrypolicy",2
"1041","fragmentation",2
"1042","fuel",2
"1043","fuelwood",2
"1044","functionaldiversity",2
"1045","fungaldisease",2
"1046","fungus",2
"1047","futureprospect",2
"1048","fuzzylogic",2
"1049","fuzzymathematics",2
"1050","gammarays",2
"1051","gansu",2
"1052","gapsandconstraints",2
"1053","gardens",2
"1054","genderissue",2
"1055","genderrelations",2
"1056","genderrole",2
"1057","genderroles",2
"1058","gene",2
"1059","geneediting",2
"1060","genepool",2
"1061","geneticallymodifiedorganism",2
"1062","geneticassociation",2
"1063","geneticengineering",2
"1064","geneticimprovements",2
"1065","geneticpolymorphism",2
"1066","genome-wideassociationstudy",2
"1067","genotype-environmentinteraction",2
"1068","genotypingtechnique",2
"1069","genotypingtechniques",2
"1070","geographicaldistribution",2
"1071","geographicdistribution",2
"1072","geometridae",2
"1073","germination",2
"1074","germplasmresource",2
"1075","giahs",2
"1076","globalchange",2
"1077","globalization",2
"1078","globallyimportantagriculturalheritagesystems(giahs)",2
"1079","globalwarming",2
"1080","grain-for-greenprogramme",2
"1081","greenhousegases",2
"1082","greenproduction",2
"1083","grossdomesticproduct",2
"1084","groundwaterdepletion",2
"1085","groundwaterirrigation",2
"1086","growthdisorder",2
"1087","growthdisorders",2
"1088","h2o2",2
"1089","habitatstructure",2
"1090","halophyte",2
"1091","haplotype",2
"1092","harvest",2
"1093","haryana",2
"1094","healthcare",2
"1095","heating",2
"1096","heavymetal",2
"1097","hedgerow",2
"1098","hedgerowintercropping",2
"1099","herd",2
"1100","heritagetourism",2
"1101","heterogeneity",2
"1102","high-throughputnucleotidesequencing",2
"1103","highthroughputsequencing",2
"1104","hillagriculture",2
"1105","hills",2
"1106","hindukush",2
"1107","hormone",2
"1108","host-parasiteinteractions",2
"1109","hostparasiteinteraction",2
"1110","householdfoodsecurity",2
"1111","householdwealth",2
"1112","human-modifiedlandscapes",2
"1113","humancapital",2
"1114","humannutrition",2
"1115","humicacid",2
"1116","humicsubstance",2
"1117","hydropower",2
"1118","incentive",2
"1119","incomedistribution",2
"1120","indexmethod",2
"1121","indianagriculture",2
"1122","indiancuisine",2
"1123","indiansubsistencefarming",2
"1124","indicatorspecies",2
"1125","indigenous",2
"1126","indigenouscommunity",2
"1127","indigenouspopulation",2
"1128","inducedresponse",2
"1129","industrialdevelopment",2
"1130","industriallinkage",2
"1131","industry",2
"1132","inequality",2
"1133","infant",2
"1134","input-outputanalysis",2
"1135","inputenergy",2
"1136","insects",2
"1137","institutionalconstraints",2
"1138","integration",2
"1139","interactiveeffect",2
"1140","intercrop",2
"1141","interdisciplinaryapproach",2
"1142","internationalcooperation",2
"1143","internetofthings",2
"1144","interspecificcompetition",2
"1145","interspecificfacilitation",2
"1146","interview",2
"1147","intrastateconflict",2
"1148","irrawaddydelta",2
"1149","irrigationsystem",2
"1150","irrigationwateruseefficiency",2
"1151","jammuandkashmir",2
"1152","japan",2
"1153","juglandaceae",2
"1154","karnali",2
"1155","ketones",2
"1156","kinnaur",2
"1157","kinship",2
"1158","knowledgebasedsystems",2
"1159","ladakh",2
"1160","lamiaceae",2
"1161","landracediversity",2
"1162","landsat",2
"1163","landscapeecology",2
"1164","landscapestructure",2
"1165","landtenuresecurity",2
"1166","landtransfer",2
"1167","landusesuitability",2
"1168","landusesystem",2
"1169","laodelphaxstriatellus",2
"1170","latitude",2
"1171","leachate",2
"1172","leafyvegetable",2
"1173","legalaspect",2
"1174","linearregression",2
"1175","livelihoodvulnerability",2
"1176","livestocksystem",2
"1177","localknowledge",2
"1178","loessplateau",2
"1179","logisticregression",2
"1180","lowland",2
"1181","magnaporthegrisea",2
"1182","mainlandsoutheastasia",2
"1183","manipur",2
"1184","manures",2
"1185","marginallands",2
"1186","marketingcapability",2
"1187","markets",2
"1188","massspectrometry",2
"1189","maxent",2
"1190","medicine",2
"1191","meghalaya",2
"1192","mekongregion",2
"1193","melanthiaceae",2
"1194","menthol",2
"1195","menthone",2
"1196","meta-analysis",2
"1197","metabolomics",2
"1198","meteorology",2
"1199","metropolitanarea",2
"1200","microbialcommunity",2
"1201","microclimate",2
"1202","microorganism",2
"1203","mid-hillregion",2
"1204","middlehills",2
"1205","mineral",2
"1206","mitigation",2
"1207","mixedcropping",2
"1208","mixedgrassstrip",2
"1209","mobility",2
"1210","model",2
