"","Year","Combine","n"
"91","1999","livestock",1
"92","1999","myanmar",1
"93","1999","nepal",1
"94","1999","phaseolus(angiosperm)",1
"95","1999","policies",1
"96","1999","sustainableagriculture",1
"97","1999","tetragonolobus",1
"98","1999","traditionalknowledge",1
"99","1999","wingedbean",1
"100","2000","nepal",4
"101","2000","",2
"102","2000","bhutan",2
"103","2000","carryingcapacity",2
"104","2000","farmingsystem",2
"105","2000","magnaporthegrisea",2
"106","2000","manure",2
"107","2000","nitrogen",2
"108","2000","pyriculariagrisea",2
"109","2000","agriculturalecosystem",1
"110","2000","agriculturalproduction",1
"111","2000","agriculture",1
"112","2000","animalfood",1
"113","2000","article",1
"114","2000","bioaccumulation",1
"115","2000","carbon",1
"116","2000","china",1
"117","2000","compost",1
"118","2000","cropdamage",1
"119","2000","cultivar",1
"120","2000","decomposition",1
"121","2000","diseaseprevalence",1
"122","2000","draughtanimalpower(dap)",1
"123","2000","draughtanimals",1
"124","2000","ecosystem",1
"125","2000","environmentalmanagement",1
"126","2000","farmingsystems",1
"127","2000","fertilizer",1
"128","2000","forage",1
"129","2000","forest",1
"130","2000","geneticdiversity",1
"131","2000","geneticline",1
"132","2000","haplotype",1
"133","2000","landdegradation",1
"134","2000","landmanagement",1
"135","2000","landresources",1
"136","2000","leaching",1
"137","2000","livestock",1
"138","2000","livestockfarming",1
"139","2000","mgr-fingerprinting",1
"140","2000","nbudget",1
"141","2000","nitrogenbalance",1
"142","2000","nitrogenmetabolism",1
"143","2000","nutrient",1
"144","2000","oryzasativa",1
"145","2000","pathogenintroduction",1
"146","2000","plantgrowth",1
"147","2000","productivity",1
"148","2000","restrictionfragmentlengthpolymorphism",1
"149","2000","rice",1
"150","2000","riceblast",1
"151","2000","simulation",1
"152","2000","soil",1
"153","2000","soilerosion",1
"154","2000","sustainability",1
"155","2000","sustainableagriculture",1
"156","2000","tdndemandandsupply",1
"157","2000","traditionalagriculture",1
"158","2000","traditionalfarming",1
"159","2000","traditionalfarmingsystemdenitrification",1
"160","2000","transformedagriculture",1
"161","2000","tree",1
"162","2000","weather",1
"163","2000","winter",1
"164","2000","yieldlosses",1
"165","2001","farmingsystem",3
"166","2001","himalaya",3
"167","2001","nitrogenfixation",3
"168","2001","",2
"169","2001","agroforestry",2
"170","2001","crops",2
"171","2001","culturallandscapes",2
"172","2001","farmingsystems",2
"173","2001","india",2
"174","2001","landuse",2
"175","2001","maize",2
"176","2001","mountainregion",2
"177","2001","nepal",2
"178","2001","overlandflow",2
"179","2001","soilfertility",2
"180","2001","agriculturalengineering",1
"181","2001","agriculturalpractice",1
"182","2001","agriculture",1
"183","2001","agroecology",1
"184","2001","agroforestry'simpact",1
"185","2001","agroforesty",1
"186","2001","albizia",1
"187","2001","animalia",1
"188","2001","arachishypogea",1
"189","2001","article",1
"190","2001","asia",1
"191","2001","benefit-costanalysis",1
"192","2001","bio-composting",1
"193","2001","biodiversity",1
"194","2001","biospherereserve",1
"195","2001","biotechnology",1
"196","2001","bostaurus",1
"197","2001","bubalus",1
"198","2001","buffalo",1
"199","2001","cajanuscajan",1
"200","2001","caprahircus",1
"201","2001","china",1
"202","2001","cicerarietinum",1
"203","2001","comparativeeconomicanalysis",1
"204","2001","composting",1
"205","2001","conservationpolicy-peopleconflicts",1
"206","2001","controlledstudy",1
"207","2001","cost",1
"208","2001","costbenefitanalysis",1
"209","2001","cow",1
"210","2001","crop",1
"211","2001","cultivation",1
"212","2001","culturallandscape",1
"213","2001","dairyproduction",1
"214","2001","dynamics",1
"215","2001","ecology",1
"216","2001","economicandsocialeffects",1
"217","2001","economicaspect",1
"218","2001","energy",1
"219","2001","energyutilization",1
"220","2001","environmentalimpact",1
"221","2001","environmentalmanagement",1
"222","2001","environmentalprotection",1
"223","2001","farmincome",1
"224","2001","farms",1
"225","2001","foddertrees",1
"226","2001","foodgrain",1
"227","2001","forest",1
"228","2001","geneticdiversity",1
"229","2001","glycinemax",1
"230","2001","grass",1
"231","2001","growthkinetics",1
"232","2001","himalayas",1
"233","2001","hindukush",1
"234","2001","horticulture",1
"235","2001","horticulturecolocasiaesculenta",1
"236","2001","income",1
"237","2001","indicatorsofagrobiodiversity",1
"238","2001","internationalcomparison",1
"239","2001","land-coverchange",1
"240","2001","land-usepatterns",1
"241","2001","landcover",1
"242","2001","landdegradation",1
"243","2001","landscapeplanning",1
"244","2001","lathyrusspp.",1
"245","2001","lensculinaris",1
"246","2001","livestock",1
"247","2001","milkproduction",1
"248","2001","monitoring",1
"249","2001","morus(plant)",1
"250","2001","morusalba",1
"251","2001","mountains",1
"252","2001","n2-fixingtree",1
"253","2001","naturalsciences",1
"254","2001","nature-societyrelations",1
"255","2001","nitrogen",1
"256","2001","nutrient",1
"257","2001","nutrientloss",1
"258","2001","pakistan",1
"259","2001","phosphorus",1
"260","2001","photography",1
"261","2001","photointerpretation",1
"262","2001","planningmethod",1
"263","2001","population",1
"264","2001","ruralplanning",1
"265","2001","seebedpreparation",1
"266","2001","sericulture",1
"267","2001","sikkim",1
"268","2001","soil",1
"269","2001","soilconservation",1
"270","2001","soilerosion",1
"271","2001","subsistenceagriculture",1
"272","2001","summerlegumes",1
"273","2001","surveying",1
"274","2001","sustainabledevelopment",1
"275","2001","taro",1
"276","2001","traditionalagroecosystems",1
"277","2001","tree",1
"278","2001","urbanplanning",1
"279","2001","viciafaba",1
"280","2001","vignamungo",1
"281","2001","water",1
"282","2001","watershed",1
"283","2001","wheat",1
"284","2001","wheatcrops",1
"285","2002","farmingsystem",3
"286","2002","asia",2
"287","2002","china",2
"288","2002","mixedfarming",2
"289","2002","nepal",2
"290","2002","sustainability",2
"291","2002","traditionalagriculture",2
"292","2002","",1
"293","2002","agriculturalmanagement",1
"294","2002","agriculturalproduction",1
"295","2002","agriculture",1
"296","2002","agrobiodiversity",1
"297","2002","agroecosystem",1
"298","2002","agroforestry",1
"299","2002","agroforestryadoption",1
"300","2002","animalcare",1
"301","2002","animalia",1
"302","2002","animaluse",1
"303","2002","article",1
"304","2002","bostaurus",1
"305","2002","bovinae",1
"306","2002","bubalus",1
"307","2002","buffalo",1
"308","2002","castration",1
"309","2002","cattle",1
"310","2002","draughtanimalpower(dap)",1
"311","2002","ecologicalagriculture",1
"312","2002","ecologicaleconomics",1
"313","2002","environmentalplanning",1
"314","2002","ethniccommunities",1
"315","2002","feeding",1
"316","2002","greaterhimalayas",1
"317","2002","herd",1
"318","2002","hillfarmingsystem",1
"319","2002","livestock",1
"320","2002","livestockfarming",1
"321","2002","logisticregression",1
"322","2002","management",1
"323","2002","middlehimalayasmanihotesculenta",1
"324","2002","nonhuman",1
"325","2002","ovis",1
"326","2002","plowing",1
"327","2002","productionsystems",1
"328","2002","regressionanalysis",1
"329","2002","shivaliks",1
"330","2002","sikkimhimalayas",1
"331","2002","smallholder",1
"332","2002","subsistenceagriculture",1
"333","2002","subsistencefarmhouseholds",1
"334","2002","traditional",1
"335","2002","traditionalknowledge",1
"336","2002","transformed",1
"337","2002","triticumaestivum",1
"338","2002","women",1
"339","2002","zeamays",1
"340","2003","china",6
"341","2003","",3
"342","2003","biodiversity",3
"343","2003","conservation",3
"344","2003","intercropping",3
"345","2003","agroforestry",2
"346","2003","amorphophallus",2
"347","2003","ethnobotany",2
"348","2003","musella",2
"349","2003","nepal",2
"350","2003","oryzasativa",2
"351","2003","profitability",2
"352","2003","sandysoils",2
"353","2003","smallholderfarmers",2
"354","2003","sustainability",2
"355","2003","switzerland",2
"356","2003","zeamays",2
"357","2003","agriculturaldevelopment",1
"358","2003","agriculturalmanagement",1
"359","2003","agriculturalproduction",1
"360","2003","agriculture",1
"361","2003","agrobiodiversity",1
"362","2003","agroecology",1
"363","2003","animalia",1
"364","2003","apusapus",1
"365","2003","arachis",1
"366","2003","arachishypogaea",1
"367","2003","biodiversitydeployment",1
"368","2003","bosgrunniens",1
"369","2003","bostaurus",1
"370","2003","brassicaoleraceavar.capitata",1
"371","2003","camellia",1
"372","2003","camelliasinensis",1
"373","2003","caprahircus",1
"374","2003","cicerarietinum",1
"375","2003","conservationandpromotion",1
"376","2003","conservationgenetics",1
"377","2003","conservationmanagement",1
"378","2003","convolvulus",1
"379","2003","cropimprovement",1
"380","2003","crops",1
"381","2003","cropyield",1
"382","2003","efficiencymeasurement",1
"383","2003","elettariacardamomum",1
"384","2003","embryophyta",1
"385","2003","fallowforests",1
"386","2003","farmingsystem",1
"387","2003","folksoiltaxonomy",1
"388","2003","forestry",1
"389","2003","geneticerosion",1
"390","2003","geneticresource",1
"391","2003","glycinemax",1
"392","2003","hani",1
"393","2003","housegardens",1
"394","2003","india",1
"395","2003","indigenousknowledgeturkey",1
"396","2003","insituagrobiodiversityconservation",1
"397","2003","interspecificcompetition",1
"398","2003","interspecificfacilitation",1
"399","2003","ipomoea",1
"400","2003","ipomoeaaquatica",1
"401","2003","landuse",1
"402","2003","musellalasiocarpa",1
"403","2003","northwesternshandong",1
"404","2003","nutrientuse",1
"405","2003","on-farmconservation",1
"406","2003","ovisaries",1
"407","2003","paddylandraces",1
"408","2003","paris",1
"409","2003","phaseolus(angiosperm)",1
"410","2003","plant",1
"411","2003","planttransfer",1
"412","2003","recovery",1
"413","2003","rice",1
"414","2003","ricebiodiversity",1
"415","2003","risk",1
"416","2003","riskassessment",1
"417","2003","sandysoil",1
"418","2003","soilmechanics",1
"419","2003","solanumtuberosum",1
"420","2003","strategicapproach",1
"421","2003","strategy",1
"422","2003","susscrofa",1
"423","2003","sustainabledevelopment",1
"424","2003","sustainableuse",1
"425","2003","traditionalknowledge",1
"426","2003","triticum",1
"427","2003","triticumaestivum",1
"428","2003","trixis",1
"429","2003","turkey",1
"430","2003","uplandregion",1
"431","2003","vicia",1
"432","2003","viciafaba",1
"433","2003","wildtea",1
"434","2003","xishuangbanna",1
"435","2003","yieldadvantage",1
"436","2003","yunnan",1
"437","2003","zea",1
"438","2003","zingiberofficinale",1
"439","2004","asia",7
"440","2004","eurasia",7
"441","2004","southasia",7
"442","2004","nepal",5
"443","2004","",4
"444","2004","himalayas",3
"445","2004","animalia",2
"446","2004","apislaboriosa",2
"447","2004","bangladesh",2
"448","2004","easternhemisphere",2
"449","2004","eleusinecoracana",2
"450","2004","geneflow",2
"451","2004","india",2
"452","2004","land-usechange",2
"453","2004","landuse",2
"454","2004","landusechange",2
"455","2004","maize",2
"456","2004","manure",2
"457","2004","oryzasativa",2
"458","2004","phosphorus",2
"459","2004","potassium",2
"460","2004","rice",2
"461","2004","soilchemistry",2
"462","2004","soilfertility",2
"463","2004","solanumtuberosum",2
"464","2004","world",2
"465","2004","zeamays",2
"466","2004","agrarianchange",1
"467","2004","agriculturalchange",1
"468","2004","agriculturalintensification",1
"469","2004","agriculturalland",1
"470","2004","agriculturalrunoff",1
"471","2004","alopecuruspratensis",1
"472","2004","animalhusbandry",1
"473","2004","apinae",1
"474","2004","apismellifera",1
"475","2004","apoidea",1
"476","2004","aquaculture",1
"477","2004","beecliffs",1
"478","2004","benefitcostratio",1
"479","2004","bhutan",1
"480","2004","blackgram",1
"481","2004","centralhimalaya",1
"482","2004","chittagong[bangladesh]",1
"483","2004","chittagonghilltracts",1
"484","2004","climatology",1
"485","2004","conservation",1
"486","2004","conservationgenetics",1
"487","2004","cost-benefitanalysis",1
"488","2004","costbenefitanalysis",1
"489","2004","cropdiversityandproductivity",1
"490","2004","cropproduction",1
"491","2004","crops",1
"492","2004","deforestation",1
"493","2004","determinantsoflanduse",1
"494","2004","ecologicalimpact",1
"495","2004","economics",1
"496","2004","erosion",1
"497","2004","extrapolation",1
"498","2004","fagopyrum",1
"499","2004","fagopyrumesculentum",1
"500","2004","fagopyrumtataricum",1
"501","2004","fertilizer",1
"502","2004","fertilizerapplication",1
"503","2004","finger-millet",1
"504","2004","fingerprinting",1
"505","2004","forest",1
"506","2004","geneticrelationship",1
"507","2004","germplasm",1
"508","2004","harvesting",1
"509","2004","hillslope",1
"510","2004","himalaya",1
"511","2004","honeybees",1
"512","2004","hybrid",1
"513","2004","hydrology",1
"514","2004","integratedapproach",1
"515","2004","integratedfarming",1
"516","2004","intensiveagriculture",1
"517","2004","irrigation",1
"518","2004","kaski",1
"519","2004","land-usecharacterization",1
"520","2004","landtenure",1
"521","2004","leaching",1
"522","2004","lycopersiconesculentum",1
"523","2004","middlehills",1
"524","2004","nestingsites",1
"525","2004","nitrate",1
"526","2004","nitrogen",1
"527","2004","organiccarbon",1
"528","2004","pakistan",1
"529","2004","panicum",1
"530","2004","panicummiliaceum",1
"531","2004","pastoralpractices",1
"532","2004","pastureland",1
"533","2004","populationstatus",1
"534","2004","rain",1
"535","2004","rainwaterharvesting",1
"536","2004","rapd",1
"537","2004","recycling",1
"538","2004","relatives",1
"539","2004","ricevariety",1
"540","2004","rosaroxburghiiregolith",1
"541","2004","run-off",1
"542","2004","runoff",1
"543","2004","runoffrecycling",1
"544","2004","rurallandscape",1
"545","2004","setariaitalica",1
"546","2004","shiftingcultivation",1
"547","2004","slope",1
"548","2004","soc",1
"549","2004","socstock",1
"550","2004","soilloss",1
"551","2004","soilsurvey",1
"552","2004","solanum",1
"553","2004","ssr(simplesequencerepeat)",1
"554","2004","sustainablelivelihood",1
"555","2004","transgeneescape",1
"556","2004","transhumance",1
"557","2004","uplandrice",1
"558","2004","waterrecycling",1
"559","2004","watershed",1
"560","2004","wateryield-storagecapacityratio",1
"561","2004","weathering",1
"562","2005","asia",8
"563","2005","eurasia",8
"564","2005","bangladesh",6
"565","2005","easternhemisphere",6
"566","2005","southasia",6
"567","2005","world",6
"568","2005","",5
"569","2005","agrobiodiversity",4
"570","2005","india",4
"571","2005","agriculturedevelopment",2
"572","2005","agroforestry",2
"573","2005","article",2
"574","2005","biodiversity",2
"575","2005","china",2
"576","2005","conservation",2
"577","2005","cultivar",2
"578","2005","farmingsystem",2
"579","2005","gender",2
"580","2005","lamiaceae",2
"581","2005","menthol",2
"582","2005","menthone",2
"583","2005","nepal",2
"584","2005","nonhuman",2
"585","2005","rice",2
"586","2005","speciesdiversity",2
"587","2005","sustainability",2
"588","2005","sustainabledevelopment",2
"589","2005","10epigammaeudesmol",1
"590","2005","3hexenylacetate",1
"591","2005","3hexenylisovalerate",1
"592","2005","3nonanol",1
"593","2005","3octanone",1
"594","2005","4mentha6",1
"595","2005","8(9)dien2ylacetate",1
"596","2005","agriculturaldevelopment",1
"597","2005","agriculturalintensification",1
"598","2005","agriculturalproduction",1
"599","2005","agriculturalsystems",1
"600","2005","agriculture",1
"601","2005","agro-biodiversity",1
"602","2005","alcohols",1
"603","2005","alphacadinol",1
"604","2005","alphaeudesmol",1
"605","2005","alpinemeadow",1
"606","2005","alternativeagriculture",1
"607","2005","assessment",1
"608","2005","baccaurearamiflora",1
"609","2005","betaeudesmol",1
"610","2005","betafarnesene",1
"611","2005","betapinene",1
"612","2005","biomass",1
"613","2005","bisabolol",1
"614","2005","bourbonene",1
"615","2005","cajanuscajan",1
"616","2005","camphene",1
"617","2005","carveol",1
"618","2005","carvone",1
"619","2005","caryophyllene",1
"620","2005","caryophylleneoxide",1
"621","2005","centralindia",1
"622","2005","chemicalanalysis",1
"623","2005","chemicalcomposition",1
"624","2005","chemoarrays",1
"625","2005","chineseecologicalagriculture",1
"626","2005","chittagong[bangladesh]",1
"627","2005","chittagonghilltracts",1
"628","2005","cicerarietinum",1
"629","2005","cineole",1
"630","2005","citronellol",1
"631","2005","composition",1
"632","2005","concentration",1
"633","2005","concentration(parameters)",1
"634","2005","concentration(process)",1
"635","2005","controlledstudy",1
"636","2005","corn",1
"637","2005","cornmintoil",1
"638","2005","crop",1
"639","2005","cropdiversification",1
"640","2005","cropdiversity",1
"641","2005","croppingpractice",1
"642","2005","croppingsystems",1
"643","2005","cropplant",1
"644","2005","crops",1
"645","2005","cultivation",1
"646","2005","culturaltradition",1
"647","2005","curdione",1
"648","2005","decanol",1
"649","2005","deltacadinene",1
"650","2005","determinantsofagriculturalsystems",1
"651","2005","dietarydiversity",1
"652","2005","dietaryintake",1
"653","2005","dietarypatterns",1
"654","2005","dietarysurveys",1
"655","2005","diploknemabutyracea",1
"656","2005","dnamodification",1
"657","2005","drugisolation",1
"658","2005","dynamics",1
"659","2005","easternhimalayas",1
"660","2005","ecological
region",1
"661","2005","economicandsocialeffects",1
"662","2005","economics",1
"663","2005","elaeagnus",1
"664","2005","elaeagnuslatifolia",1
"665","2005","energy",1
"666","2005","eriolobus",1
"667","2005","eriolobusindica",1
"668","2005","essentialoil",1
"669","2005","essentialoilcomposition",1
"670","2005","essentialoils",1
"671","2005","expertfarmer",1
"672","2005","fallowagroecosystems",1
"673","2005","fareast",1
"674","2005","farnesol",1
"675","2005","festival",1
"676","2005","fieldexperiment",1
"677","2005","flower",1
"678","2005","foodbiotechnology",1
"679","2005","foodcomposition",1
"680","2005","foodintake",1
"681","2005","fruit",1
"682","2005","fruitproduction",1
"683","2005","gammacadinene",1
"684","2005","gammaeudesmol",1
"685","2005","geneticconservation",1
"686","2005","geneticvariability",1
"687","2005","genotype",1
"688","2005","genotypes",1
"689","2005","geographicinformationsystems",1
"690","2005","germacrened",1
"691","2005","germplasm",1
"692","2005","glycinemax",1
"693","2005","greenfood",1
"694","2005","greenfoodbase",1
"695","2005","growth",1
"696","2005","guaiol",1
"697","2005","heptadecene",1
"698","2005","hexadecane",1
"699","2005","hexylcinnamaldehyde",1
"700","2005","hexylisovalerate",1
"701","2005","highlyelevatedregion",1
"702","2005","himalayas",1
"703","2005","household",1
"704","2005","human",1
"705","2005","humulene",1
"706","2005","humuleneepoxide",1
"707","2005","intensificationofcroppingsystems",1
"708","2005","intensiveagriculture",1
"709","2005","isoamylisovalerate",1
"710","2005","isomenthone",1
"711","2005","isopulegol",1
"712","2005","ketones",1
"713","2005","landscapeecologicalplanning",1
"714","2005","landscapeplanning",1
"715","2005","landuse",1
"716","2005","lar",1
"717","2005","limonene",1
"718","2005","linalool",1
"719","2005","localvarieties",1
"720","2005","machilus",1
"721","2005","machilusedulis",1
"722","2005","menth2en1ol",1
"723","2005","mentha",1
"724","2005","menthaarvensis",1
"725","2005","menthaarvensisf.piperascens",1
"726","2005","menthapiperita",1
"727","2005","menthylacetate",1
"728","2005","methanol",1
"729","2005","methyleugenol",1
"730","2005","methyloctylether",1
"731","2005","mountainfarming",1
"732","2005","mountainregion",1
"733","2005","myrtenal",1
"734","2005","myrtenol",1
"735","2005","nar",1
"736","2005","naturalresources",1
"737","2005","natureconservation",1
"738","2005","newstrategy",1
"739","2005","non-timberforestproducts",1
"740","2005","nonanol",1
"741","2005","northwestyunnan",1
"742","2005","nutrition",1
"743","2005","octanol",1
"744","2005","octylacetate",1
"745","2005","on-farmconservation",1
"746","2005","operation",1
"747","2005","paracymene",1
"748","2005","participatoryruralappraisal",1
"749","2005","peppermintoil",1
"750","2005","piperitenone",1
"751","2005","plantgeneticresources",1
"752","2005","plantgenetics",1
"753","2005","plantgrowth",1
"754","2005","poverty",1
"755","2005","principles",1
"756","2005","productivity",1
"757","2005","productivitystability",1
"758","2005","pulegone",1
"759","2005","qualitycontrol",1
"760","2005","quantitativeanalysis",1
"761","2005","quantumyield",1
"762","2005","rgr",1
"763","2005","ruralarea",1
"764","2005","ruralareas",1
"765","2005","ruraldevelopment",1
"766","2005","sabinene",1
"767","2005","sabinenehydrate",1
"768","2005","sabinylacetate",1
"769","2005","seedlingestablishment",1
"770","2005","seedlinggrowth",1
"771","2005","seedmanagement",1
"772","2005","shiftingagriculture",1
"773","2005","sikkim",1
"774","2005","sikkimhimalayas",1
"775","2005","socio-economy",1
"776","2005","socioeconomicdevelopment",1
"777","2005","socioeconomicstatus",1
"778","2005","spondiasaxillaris",1
"779","2005","steps",1
"780","2005","structure",1
"781","2005","subsistencecerealfarming",1
"782","2005","subtropicalproductionsystem",1
"783","2005","survey",1
"784","2005","survival",1
"785","2005","sustainableagriculturesustainabledevelopment",1
"786","2005","systemcomponents",1
"787","2005","tcadinol",1
"788","2005","technologytransfer",1
"789","2005","terpinen4ol",1
"790","2005","terpinene",1
"791","2005","terpineol",1
"792","2005","terpinolene",1
"793","2005","tibet",1
"794","2005","transplantation",1
"795","2005","triticumaestivum",1
"796","2005","unclassifieddrug",1
"797","2005","uttaranchal",1
"798","2005","valleyregion",1
"799","2005","vegetable",1
"800","2005","verbenone",1
"801","2005","verticality",1
"802","2005","volatileoil",1
"803","2005","watershed",1
"804","2005","zeamays",1
"805","2006","asia",9
"806","2006","eurasia",9
"807","2006","southasia",8
"808","2006","nepal",7
"809","2006","biodiversity",5
"810","2006","agriculturalecosystem",4
"811","2006","animalia",4
"812","2006","",3
"813","2006","agriculture",3
"814","2006","erosion",3
"815","2006","himalayas",3
"816","2006","india",3
"817","2006","soilerosion",3
"818","2006","agriculturaldevelopment",2
"819","2006","agriculturalproduction",2
"820","2006","china",2
"821","2006","conservationtillage",2
"822","2006","europe",2
"823","2006","farmingsystem",2
"824","2006","geneticdiversity",2
"825","2006","gis",2
"826","2006","grain-for-greenprogramme",2
"827","2006","homegarden",2
"828","2006","landuse",2
"829","2006","lepidoptera",2
"830","2006","microsatellites",2
"831","2006","mixedcropping",2
"832","2006","pakistan",2
"833","2006","slopingfarmland",2
"834","2006","soilfertility",2
"835","2006","speciesdiversity",2
"836","2006","subsistenceagriculture",2
"837","2006","yangtzeriver",2
"838","2006","zeamays",2
"839","2006","africa",1
"840","2006","agriculturalland",1
"841","2006","agriculturalpattern",1
"842","2006","agriculturalpractice",1
"843","2006","agriculturalresearch",1
"844","2006","agro-morphologicaldiversity",1
"845","2006","agro-morpologicaldiversity",1
"846","2006","agroforestry",1
"847","2006","albrectdanielthaer",1
"848","2006","alliumsativum",1
"849","2006","alternativeagriculture",1
"850","2006","bostaurus",1
"851","2006","buckwheat",1
"852","2006","canalratio",1
"853","2006","caprahircus",1
"854","2006","carlsprengel",1
"855","2006","catalysis",1
"856","2006","centraleurope",1
"857","2006","cicerarietinum",1
"858","2006","climatology",1
"859","2006","colocasiaesculenta",1
"860","2006","conservation",1
"861","2006","contemporaryagriculture",1
"862","2006","conventionalagriculture",1
"863","2006","corn",1
"864","2006","cropplant",1
"865","2006","cropproduction",1
"866","2006","crops",1
"867","2006","cropyield",1
"868","2006","cruciferousvegetables",1
"869","2006","diversityindex",1
"870","2006","e.b.balfour",1
"871","2006","eastafrica",1
"872","2006","economicactivity",1
"873","2006","england",1
"874","2006","environmentalimpact",1
"875","2006","environmentalimpactquotient",1
"876","2006","f.h.king",1
"877","2006","fagopyrumesculentum",1
"878","2006","fareast",1
"879","2006","farmtrees",1
"880","2006","focusgroupdiscussion",1
"881","2006","forestresource",1
"882","2006","forestry",1
"883","2006","fragaria",1
"884","2006","fragariaxananassa",1
"885","2006","geneticengineering",1
"886","2006","geographicinformationsystems",1
"887","2006","glycinemax",1
"888","2006","gulmi",1
"889","2006","helianthus",1
"890","2006","hexapoda",1
"891","2006","high-altituderice",1
"892","2006","highlandagroecosystems",1
"893","2006","hill",1
"894","2006","himalayanregion",1
"895","2006","himalayanregions",1
"896","2006","householdstructure",1
"897","2006","humus",1
"898","2006","humustheoryofplantnutrition",1
"899","2006","indorecomposting",1
"900","2006","informationsystems",1
"901","2006","insecticide",1
"902","2006","insecticidealternatives",1
"903","2006","insitu(on-farm)conservation",1
"904","2006","ipomoeabatatas",1
"905","2006","irrigationintensity",1
"906","2006","irrigationscheduling",1
"907","2006","j.i.rodale",1
"908","2006","justusvon",1
"909","2006","karakoram",1
"910","2006","kenya",1
"911","2006","landraces",1
"912","2006","landusechange",1
"913","2006","liebig",1
"914","2006","livestockfarming",1
"915","2006","livestocksystem",1
"916","2006","lumbini",1
"917","2006","lycopersiconesculentum",1
"918","2006","meteorology",1
"919","2006","mid-hill",1
"920","2006","morphology",1
"921","2006","multivariateanalysis",1
"922","2006","napal",1
"923","2006","nationalplanning",1
"924","2006","naturalenemies",1
"925","2006","new-typeagriculture",1
"926","2006","nutrientloss",1
"927","2006","nutrients",1
"928","2006","nutrientsupply",1
"929","2006","nutritionalrequirement",1
"930","2006","oilagriculture",1
"931","2006","organicagriculture",1
"932","2006","organicfarming",1
"933","2006","ovisaries",1
"934","2006","peoplesrepublicofchina",1
"935","2006","pestcontrol",1
"936","2006","pheffects",1
"937","2006","plantgeneticdiversity",1
"938","2006","precisionagriculture",1
"939","2006","principalcomponentanalysis",1
"940","2006","productivity",1
"941","2006","recycling",1
"942","2006","resourcemanagement",1
"943","2006","resourceuse",1
"944","2006","rice",1
"945","2006","rupandehi",1
"946","2006","sandyloam",1
"947","2006","satellites",1
"948","2006","semiaridregion",1
"949","2006","sichuan",1
"950","2006","slope",1
"951","2006","slopestability",1
"952","2006","smallholder",1
"953","2006","socioeconomicconditions",1
"954","2006","soil",1
"955","2006","soilmechanics",1
"956","2006","soils",1
"957","2006","solanumtuberosum",1
"958","2006","spatialanalysis",1
"959","2006","speciesinventory",1
"960","2006","speciesrichness",1
"961","2006","sub-saharanafrica",1
"962","2006","sustainabledevelopment",1
"963","2006","switzerland",1
"964","2006","terai",1
"965","2006","tharigadwatershed",1
"966","2006","thelawofreturn",1
"967","2006","tillage",1
