"","Combine","Year","n","Pillar","pillar"
"51","crops",2014,6,"Foundation","Fou"
"52","conservation",2014,3,"Foundation","Fou"
"53","intercropping",2014,3,"Foundation","Fou"
"54","breeding",2014,2,"Foundation","Fou"
"55","cultivar",2014,2,"Foundation","Fou"
"56","cultivation",2014,2,"Foundation","Fou"
"57","decomposition",2014,2,"Foundation","Fou"
"58","geneticvariation",2014,2,"Foundation","Fou"
"59","speciesdiversity",2014,2,"Foundation","Fou"
"60","germplasm",2015,7,"Foundation","Fou"
"61","conservation",2015,6,"Foundation","Fou"
"62","cropimprovement",2015,6,"Foundation","Fou"
"63","crops",2015,6,"Foundation","Fou"
"64","cultivation",2015,5,"Foundation","Fou"
"65","agronomy",2015,4,"Foundation","Fou"
"66","intercropping",2015,4,"Foundation","Fou"
"67","cropyield",2015,3,"Foundation","Fou"
"68","livestock",2015,3,"Foundation","Fou"
"69","plantgeneticresources",2015,3,"Foundation","Fou"
"70","speciesdiversity",2015,3,"Foundation","Fou"
"71","biologicalcontrol",2015,2,"Foundation","Fou"
"72","breeding",2015,2,"Foundation","Fou"
"73","cropdiversity",2015,2,"Foundation","Fou"
"74","cropwildrelative",2015,2,"Foundation","Fou"
"75","cropwildrelatives",2015,2,"Foundation","Fou"
"76","geneticdiversity",2015,2,"Foundation","Fou"
"77","wildpopulation",2015,2,"Foundation","Fou"
"78","crops",2016,7,"Foundation","Fou"
"79","geneticvariation",2016,6,"Foundation","Fou"
"80","cropyield",2016,5,"Foundation","Fou"
"81","geneticdiversity",2016,3,"Foundation","Fou"
"82","agronomy",2016,2,"Foundation","Fou"
"83","conservationtillage",2016,2,"Foundation","Fou"
"84","cropdiversity",2016,2,"Foundation","Fou"
"85","geneticmarker",2016,2,"Foundation","Fou"
"86","geneticresources",2016,2,"Foundation","Fou"
"87","genomics",2016,2,"Foundation","Fou"
"88","crops",2017,8,"Foundation","Fou"
"89","cultivation",2017,6,"Foundation","Fou"
"90","conservation",2017,4,"Foundation","Fou"
"91","landraces",2017,4,"Foundation","Fou"
"92","cropdiversity",2017,3,"Foundation","Fou"
"93","geneticdiversity",2017,3,"Foundation","Fou"
"94","breeding",2017,2,"Foundation","Fou"
"95","cultivar",2017,2,"Foundation","Fou"
"96","geneticanalysis",2017,2,"Foundation","Fou"
"97","intercropping",2017,2,"Foundation","Fou"
"98","crops",2018,7,"Foundation","Fou"
"99","geneticdiversity",2018,5,"Foundation","Fou"
"100","agronomy",2018,4,"Foundation","Fou"
"101","conservation",2018,4,"Foundation","Fou"
"102","cropyield",2018,4,"Foundation","Fou"
"103","cultivation",2018,4,"Foundation","Fou"
"104","intercropping",2018,4,"Foundation","Fou"
"105","aquaculture",2018,2,"Foundation","Fou"
"106","cropdiversity",2018,2,"Foundation","Fou"
"107","geneintrogression",2018,2,"Foundation","Fou"
"108","geneticmarker",2018,2,"Foundation","Fou"
"109","genomics",2018,2,"Foundation","Fou"
"110","hybridization",2018,2,"Foundation","Fou"
"111","livestock",2018,2,"Foundation","Fou"
"112","speciesdiversity",2018,2,"Foundation","Fou"
"113","crops",2019,8,"Foundation","Fou"
"114","intercropping",2019,7,"Foundation","Fou"
"115","cropyield",2019,6,"Foundation","Fou"
"116","geneticdiversity",2019,6,"Foundation","Fou"
"117","soilquality",2019,6,"Foundation","Fou"
"118","biomass",2019,5,"Foundation","Fou"
"119","cultivation",2019,5,"Foundation","Fou"
"120","genome",2019,4,"Foundation","Fou"
"121","seed",2019,4,"Foundation","Fou"
"122","speciesdiversity",2019,4,"Foundation","Fou"
"123","agronomy",2019,3,"Foundation","Fou"
"124","conservationtillage",2019,3,"Foundation","Fou"
"125","cropdiversity",2019,3,"Foundation","Fou"
"126","cropimprovement",2019,3,"Foundation","Fou"
"127","enzymeactivity",2019,3,"Foundation","Fou"
"128","geneticvariation",2019,3,"Foundation","Fou"
"129","livestock",2019,3,"Foundation","Fou"
"130","plantgenome",2019,3,"Foundation","Fou"
"131","soilorganicmatter",2019,3,"Foundation","Fou"
"132","biochar",2019,2,"Foundation","Fou"
"133","cropproductivity",2019,2,"Foundation","Fou"
"134","landraces",2019,2,"Foundation","Fou"
"135","cultivation",2020,9,"Foundation","Fou"
"136","crops",2020,8,"Foundation","Fou"
"137","cropyield",2020,6,"Foundation","Fou"
"138","biomass",2020,4,"Foundation","Fou"
"139","conservation",2020,4,"Foundation","Fou"
"140","biologicalcontrol",2020,2,"Foundation","Fou"
"141","intercropping",2020,2,"Foundation","Fou"
"142","seed",2020,2,"Foundation","Fou"
"143","soilchemistry",2020,2,"Foundation","Fou"
"144","speciesdiversity",2020,2,"Foundation","Fou"
"145","speciesrichness",2020,2,"Foundation","Fou"
